Name,Goals,Assists,KeyP,Drb,Fouled,Off,Disp,UnsTch
Sidney Sam,3,-,0.5,1.4,1.3,0.2,1.2,1.8
Bogdan Stancu,7,2,0.5,0.5,0.7,0.3,0.7,1.3
Bilal Basacikoglu,-,-,0.3,1.3,1,-,0.7,-
Artem Kravets,9,2,0.5,0.3,0.7,0.1,1,1.9
Olarenwaju Kayode,6,2,0.4,0.5,1.7,0.2,0.5,2.2
Baris Yardimci,-,-,0.4,0.2,1.2,-,-,0.8
Titi,1,1,0.2,0.2,0.8,-,0.1,0.3
Zakarya Bergdich,-,1,0.3,0.4,0.1,-,-,0.6
Ricardo Gomes,5,-,0.7,0.8,1,0.4,1.3,2.3
Lukas Podolski,4,2,0.9,0.6,0.5,0.2,0.4,0.8
Damjan Djokovic,2,-,0.5,0.2,0.7,-,0.3,0.7
Semih Kaya,1,1,0.1,0.1,0.6,-,0.1,0.4
Aziz Behich,-,2,0.6,0.9,1,-,0.6,1.1
Okan Kocuk,-,-,-,-,0.2,-,-,0.1
Murat Paluli,-,1,0.2,0.4,1.3,0.1,0.4,0.9
Mustafa Pektemek,7,1,0.7,0.6,0.5,0.2,0.5,1.3
Robert Piris da Motta,6,1,0.4,0.3,1.3,-,0.6,1.1
Oguzhan Ozyakup,3,1,0.3,-,0.6,0.1,0.4,0.6
Oltan Karakullukcu,4,2,0.4,0.2,0.3,0.3,0.4,0.6
Oguz Ceylan,-,2,0.5,0.6,0.6,0.1,0.5,1.1
Mattias Johansson,3,-,0.5,0.7,1,0.1,0.5,0.8
Beykan Simsek,1,-,0.3,1.2,0.3,-,-,0.3
Gabriel Obertan,2,2,0.7,0.5,0.5,-,0.6,0.9
Marcelo Goiano,-,-,0.7,-,0.7,-,0.2,0.7
Adil Demirbag,-,-,0.1,0.1,0.7,-,0.1,0.2
Jonathan Bolingi,1,-,0.9,0.4,1.9,0.8,0.4,3.1
Caner Osmanpasa,1,-,0.1,0.1,0.3,-,-,0.3
Javi Montero,-,-,0.2,0.2,0.5,0.1,-,0.3
Baris Yardimci,-,-,0.6,0.6,1,-,0.6,1.4
Carlos Ponck,-,1,0.2,0.1,0.2,-,0.2,0.4
Sefa Yilmaz,4,3,0.8,0.5,0.9,0.2,1.1,1.7
Alaaddin Okumus,-,-,0.3,-,-,-,0.3,-
Tomas Brecka,-,-,-,0.1,1.1,-,0.3,0.3
Peter Zulj,4,1,0.4,0.9,0.5,-,0.8,2
Marafona,-,-,-,-,0.1,-,-,0.1
Alin Tosca,-,-,0.1,-,0.8,-,-,0.2
João Pereira,-,1,0.9,0.6,1.8,0.1,0.6,0.5
