Name,Goals,Assists,KeyP,Drb,Fouled,Off,Disp,UnsTch
Giulio Maggiore,3,1,0.4,0.5,1.2,0.1,0.4,1.7
Ricardo Rodríguez,-,-,0.4,0.3,0.4,-,0.3,0.3
Sasa Lukic,3,-,0.7,0.7,1.2,-,0.7,1.1
Pawel Dawidowicz,-,-,0.2,0.2,0.3,0.1,0.1,0.5
Mert Müldür,-,-,0.3,0.7,0.5,-,0.4,1
Juan Brunetta,1,2,0.7,1.1,1.3,0.1,0.7,1.4
Aleksandar Kolarov,-,1,0.9,-,0.6,-,-,0.4
Paolo Faragò,-,-,0.6,0.3,0.1,-,0.1,0.6
Sebastian Walukiewicz,-,1,0.1,0.4,0.2,-,0.3,0.5
Brian Oddei,-,2,0.4,0.6,0.2,-,0.2,1
Claudio Terzi,1,1,0.2,0.1,0.6,0.1,0.1,0.2
Matías Vecino,1,1,0.5,0.1,0.3,-,0.1,-
Samir Ujkani,-,-,-,-,-,-,-,-
Fernando Llorente,1,-,0.8,0.2,0.8,0.2,0.5,2
Germán Pezzella,1,-,0.1,-,0.5,0.1,-,0.4
Antonio Cioffi,-,-,1,1,-,-,-,1
Samu Castillejo,1,-,0.4,1.1,1.1,0.1,0.8,0.8
Gerard Deulofeu,1,1,0.5,0.7,0.5,0.8,0.8,1.6
Gregoire Defrel,3,3,0.7,0.5,0.7,0.2,0.5,1.2
Roberto Insigne,2,4,1.3,0.6,0.5,0.1,0.5,1.2
Andrea Conti,-,-,0.6,0.2,0.7,-,0.4,0.5
Giovanni Simeone,6,2,0.4,0.5,0.8,0.5,0.7,1.7
Juan Musso,-,-,-,-,0.1,-,-,-
Andreas Skov Olsen,2,2,0.8,0.7,0.5,0.1,0.3,1.2
Alessandro Tuia,1,-,0.1,0.1,0.4,-,0.1,0.3
Lorenzo De Silvestri,2,-,0.4,0.1,0.6,-,0.4,0.4
Marash Kumbulla,1,-,0.2,0.2,0.7,-,0.1,0.3
Pedro Obiang,-,1,0.4,0.5,0.6,-,0.2,0.4
Pasquale Schiattarella,1,1,0.9,0.5,1.9,-,0.4,0.7
Matteo Lovato,-,-,0.2,-,0.4,-,0.1,0.6
Jayden Braaf,1,-,0.5,1,0.3,-,0.3,1.5
Ronaldo Vieira,-,-,0.5,0.3,1,-,1,0.8
Sebastien De Maio,-,-,-,-,0.2,0.2,0.1,0.3
Federico Bernardeschi,-,2,0.9,0.8,0.6,0.1,0.4,1
Mergim Vojvoda,2,2,0.3,0.4,0.3,-,0.5,0.6
Iago Falque,1,1,1.2,0.6,0.3,-,0.5,1
Lennart Czyborra,1,-,0.2,0.3,0.2,-,0.4,0.9
Carles Pérez,2,1,0.7,0.8,0.3,-,0.7,1.2
Mato Jajalo,-,-,-,-,1,-,-,-
Goran Pandev,7,3,0.5,0.5,1.2,0.2,0.8,1.8
Valerio Verre,3,3,0.7,0.7,0.8,-,0.9,1.6
Mateo Musacchio,-,-,-,0.3,1,-,0.3,0.8
Danilo D'Ambrosio,3,-,0.2,0.2,0.6,-,0.2,0.5
Lorenzo Montipò,-,-,-,-,0.2,-,-,-
Emanuel Vignato,1,4,0.8,0.7,0.4,0.1,0.4,0.5
Paolo Ghiglione,-,4,0.8,0.3,0.6,0.1,0.3,0.6
Mehdi Bourabia,1,-,0.1,0.5,0.4,-,0.3,0.6
Jens Stryger Larsen,2,-,0.3,0.4,0.4,0.1,0.6,1
Joseph Alfred Duncan,-,1,0.5,0.9,0.6,-,0.4,1.2
Simone Zaza,6,-,0.4,0.2,1.1,0.5,0.7,1.9
Marlon Santos,-,-,-,0.3,0.3,-,0.2,0.2
Yayah Kallon,-,-,1,1,-,2,4,-
Kaan Ayhan,-,-,-,0.2,0.1,-,0.2,0.1
Lisandro Magallán,1,2,0.3,0.3,0.5,-,0.2,0.6
Edoardo Goldaniga,-,1,0.3,0.2,1,-,0.1,0.4
Artur Ionita,2,-,0.4,0.5,0.6,-,0.6,0.8
Giuseppe Cuomo,-,-,-,0.2,0.5,-,0.5,0.5
Kevin Lasagna,2,-,0.6,0.4,1.1,1.2,0.9,2.7
Bryan Reynolds,-,-,0.2,0.4,0.6,-,1.2,1
Simone Scuffet,-,-,-,-,-,-,-,-
Valentin Eysseric,2,-,0.5,0.2,0.7,-,0.4,0.7
Stefano Sensi,-,-,0.6,0.4,0.8,-,0.3,0.8
Gabriele Zappa,-,4,0.8,0.6,0.3,-,0.4,0.6
Gonzalo Escalante,-,1,0.1,0.3,0.3,-,0.1,0.3
Alessandro Deiola,-,-,0.5,0.1,0.3,-,0.3,0.6
Mamadou Coulibaly,-,-,0.7,0.7,0.3,0.3,1.3,2
Martín Cáceres,2,2,0.3,0.1,0.6,-,0.3,0.5
Mateo Musacchio,-,-,-,-,-,-,-,1
Pedro Pereira,-,4,0.6,0.4,0.5,0.1,0.9,1.1
Perparim Hetemaj,-,2,0.5,0.6,2.5,-,0.9,1.1
Daniele Baselli,-,-,0.6,0.3,0.6,-,0.1,0.3
Mihai Valentin Mihaila,3,-,0.4,0.9,0.5,0.3,0.4,1.3
Mohamed Fares,-,1,0.7,0.3,0.3,0.1,0.3,0.9
Luca Pellegrini,-,1,0.7,1.6,1.5,-,1.5,2
Bastos,-,-,-,1,2,-,1.5,-
Gianluca Frabotta,-,1,0.3,0.2,0.1,-,0.4,0.5
Rade Krunic,1,2,0.3,0.2,0.8,0.1,0.2,0.4
Wesley Hoedt,-,-,0.2,0.2,0.1,-,0.1,0.2
Pol Lirola,-,1,0.5,0.8,0.3,0.1,0.3,0.5
Igor Julio,-,-,0.1,0.3,0.3,-,0.3,0.3
Marco Parolo,-,2,0.2,-,0.1,0.1,0.1,0.3
Eddie Salcedo,2,-,0.2,0.5,0.7,0.1,0.8,1
Kevin Malcuit,-,-,0.2,0.8,0.2,-,0.6,0.6
Ahmad Benali,-,1,0.8,0.5,0.9,0.1,0.6,1.2
