Name,Goals,Assists,KeyP,Drb,Fouled,Off,Disp,UnsTch
Diego Lopes,1,2,0.9,0.5,2.3,0.3,0.9,1.7
Francisco Moura,2,-,-,0.2,0.4,0.4,0.6,1.4
Anderson Silva,7,-,0.2,0.3,0.9,0.5,0.5,1.5
Pedro Pelágio,-,1,0.7,0.5,1.7,-,0.5,1.1
Diogo Salomão,-,-,0.7,1.2,0.3,0.1,0.6,1.1
Pedro Amaral,-,1,0.7,0.6,1.2,0.1,0.5,0.7
Nuno Tavares,-,-,0.6,1.1,1.1,0.1,0.9,1.1
Salvador Agra,3,3,1.3,1.1,1.7,0.3,1.2,1.9
Rafael Defendi,-,-,-,-,0.7,-,-,-
João Pedro,5,2,1,0.5,1.3,0.2,1.3,1.8
Larry Azouni,-,3,0.4,0.7,0.8,-,0.5,1.2
Bryan Róchez,6,1,0.3,0.5,0.9,0.2,0.6,1.4
Edgar Costa,-,-,0.9,0.3,1.8,0.2,0.5,1
Nuno Borges,1,-,0.4,0.7,1.3,-,0.4,0.9
Mohamed Diaby,1,-,0.1,0.6,0.8,0.2,1,0.9
Evanilson,3,-,0.5,0.2,1.4,0.3,0.2,0.6
Brian Mansilla,1,1,0.4,1.1,0.7,0.5,1,1.9
Francisco Geraldes,-,2,0.7,1,1.5,0.1,1,1.9
Rafael Camacho,3,-,0.3,0.9,0.7,0.4,0.2,2.5
Tomás Tavares,-,-,0.6,0.6,1,0.1,0.8,1.4
André Luis,1,-,0.5,0.5,1,-,0.6,0.4
João Afonso,-,-,-,0.1,0.4,-,0.1,0.2
Tiago Tomás,3,1,0.6,0.4,2,0.2,0.9,1.6
Reynaldo,-,-,-,-,-,-,-,-
Cristian Devenish,1,-,0.1,0.1,0.7,-,-,0.2
Malang Sarr,-,-,-,-,-,-,-,0.1
René,-,-,0.1,0.6,1.5,-,0.3,0.6
Koki Anzai,-,-,0.5,0.5,0.7,0.1,0.5,1.1
Jorge Correa,-,1,0.6,1.2,1,0.1,0.8,1
Yusupha Om Njie,5,-,0.2,0.5,1.4,0.1,0.6,1.5
Silvestre Varela,-,2,0.6,1,1.4,0.5,1.4,1.9
Jafar Salmani,1,1,0.5,0.3,0.2,0.1,0.2,0.6
André Pinto,1,-,0.1,0.1,0.5,0.1,0.1,0.2
Jardel,-,-,0.1,-,0.3,-,-,0.1
João Amaral,1,2,0.6,0.9,0.8,0.2,0.4,1.5
Lucas Piazon,2,-,0.4,0.5,0.6,0.3,0.6,1.1
Leandrinho,-,-,0.4,1.4,-,-,0.4,0.4
Vaná Alves,-,-,-,0.2,0.3,-,-,-
Fabio China,-,2,0.3,0.7,0.7,0.1,0.3,1.3
Joaquín Pereyra,-,1,0.9,0.9,0.9,-,0.3,0.6
Javi García,1,1,0.2,0.2,1.1,-,0.1,0.4
Babacar Niasse,-,-,0.1,-,0.3,-,-,0.1
Kenji Gorré,4,3,0.6,1,0.7,-,0.9,1.8
Jean Cléber,-,-,0.4,0.9,1.7,-,0.7,1.1
Yaya,-,-,0.3,0.6,0.8,-,1,1.6
Fábio Vieira,-,1,0.6,0.8,0.8,-,0.4,0.5
Abdel Jalil Zaim Idriss Medioub,-,1,0.6,0.4,0.1,0.1,0.3,0.6
Fabrício Isidoro,2,-,0.2,0.4,1.6,-,0.4,1.1
Alex Soares,1,1,0.6,0.6,0.6,0.1,1,1.1
Rolando,-,-,-,-,-,-,0.1,-
Nikola Stojiljkovic,3,-,0.1,-,1.1,0.4,0.4,1.2
Nélson Monte,-,-,0.1,0.2,0.4,0.1,0.1,0.3
Uilton,2,-,0.3,0.8,0.4,0.2,0.4,0.5
David Simão,-,2,0.9,0.4,0.9,-,0.3,0.6
Show,-,1,0.3,0.4,0.8,-,0.3,0.5
Easah Suliman,-,-,-,-,0.1,-,0.3,-
Antunes,-,1,0.3,0.4,0.6,-,0.4,0.6
Jaume Grau,-,-,0.2,0.7,0.7,-,0.4,1
