Name,Team,Age,Main_role,Secondary_role,third_role,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Murray Davidson,St. Johnstone, 33, M(C),,,14(7),1165,1,-,4,-,0.8,70.4,3,-,6.68
Ciaron Brown,Livingston, 23, D(C),,,13(3),1116,1,1,1,-,0.4,51.5,3.4,-,6.68
Jeando Fuchs,Dundee United, 23, M(C),,,14(1),1170,-,-,6,-,0.7,69.4,2.7,-,6.68
Dan McNamara,St. Johnstone, 22, D(R),M(R),,22,1913,1,-,5,-,0.8,70,1.3,2,6.67
Scott Wright,Aberdeen, 23, AM(C),,,14(3),1133,2,1,1,-,0.9,76.9,0.4,1,6.67
Ethan Erhahon,St. Mirren, 20, DMC,,,25(3),2147,2,-,4,-,0.4,76.1,0.4,1,6.67
Albian Ajeti,Celtic, 24, FW,,,10(10),869,6,1,-,-,0.7,81.4,0.5,-,6.66
Ilkay Durmus,St. Mirren, 27, M(L),,,20(7),1735,2,2,1,-,1.4,69.9,0.7,1,6.66
Matthew Kennedy,Aberdeen, 26, M(LR),,,22(9),2100,1,2,1,-,0.8,76.9,0.8,-,6.66
Nathan Patterson,Rangers, 19, D(R),,,3(4),356,-,-,-,-,0.3,82.1,1.3,-,6.65
Calum Butcher,Dundee United, 30, DMC,,,25,2161,-,-,9,-,0.6,71,2,-,6.65
Jermain Defoe,Rangers, 38, AM(R),FW,,3(12),422,4,1,-,-,1.1,87,0.1,-,6.65
Leigh Griffiths,Celtic, 30, FW,,,7(15),749,6,2,-,-,1.8,75.6,0.5,-,6.64
Alex Iacovitti,Ross County, 23, D(CL),,,30(2),2664,-,-,3,-,0.4,66.7,3.9,-,6.64
Jack Fitzwater,Livingston, 23, D(C),,,20,1727,1,1,2,1,0.5,59.4,3.7,1,6.64
Jake Carroll,Motherwell, 29, D(L),,,14(1),1201,-,1,1,-,0.2,55.8,2.1,-,6.63
Charlie Lakin,Ross County, 22, DMC,M(L),,14(2),1162,2,1,1,-,1.1,59,1.2,-,6.63
Greg Kiltie,Kilmarnock, 24, AM(L),FW,,20(5),1739,5,2,1,-,1.1,78.1,1.2,2,6.63
Max Stryjek,Livingston, 24, GK,,,22,1980,-,-,2,-,-,41.6,0.5,-,6.63
Alan Forrest,Livingston, 24, AM(L),,,21(9),1840,4,1,1,-,1.4,70.1,0.8,1,6.63
Callum Morris,Ross County, 31, D(C),,,12,1032,-,-,3,-,0.3,65.8,2.7,-,6.62
Nathan McGinley,Motherwell, 24, D(CL),M(L),,7(7),731,-,1,-,-,-,66.4,1.3,-,6.62
Jak Alnwick,St. Mirren, 27, GK,,,29,2556,-,-,3,1,-,43.1,0.3,1,6.62
Jason Holt,Livingston, 28, M(C),,,27(3),2396,1,4,7,-,0.7,74.2,1.1,-,6.62
Barry Maguire,Motherwell, 23, M(C),,,14(7),1268,1,1,5,-,0.6,67.8,2,-,6.62
Tomas Rogic,Celtic, 28, AM(C),,,10(13),1035,1,4,1,-,1,83.3,0.1,1,6.61
Bruce Anderson,Hamilton Academical, 22, FW,,,8,671,2,1,1,-,2,72,0.6,-,6.61
Stephen O'Donnell,Motherwell, 29, D(R),M(R),,29,2494,-,2,3,1,0.2,68.8,2,-,6.61
David Templeton,Hamilton Academical, 32, AM(CL),,,7(1),516,1,2,2,-,2.4,63.9,0.4,1,6.61
Josh Mullin,Livingston, 28, AM(R),,,16(6),1387,2,3,1,-,0.9,49.4,1,1,6.61
Scott Bain,Celtic, 29, GK,,,18,1620,-,-,-,-,-,74.3,0.2,-,6.61
Calum Waters,Kilmarnock, 25, D(L),,,17,1483,-,1,1,-,0.2,66.1,1.1,-,6.60
Nicke Kabamba,Kilmarnock, 28, FW,,,21(11),2028,5,2,4,-,1.3,51.9,4.8,3,6.60
David Moyo,Hamilton Academical, 26, FW,,,21(9),1858,2,2,1,-,0.9,57,5.4,-,6.60
Greg Leigh,Aberdeen, 26, D(L),M(L),,6(2),452,-,-,-,-,-,65.4,2.8,-,6.60
Scott Arfield,Rangers, 32, AM(CLR),,,11(17),1211,4,5,1,-,1.1,85.5,0.4,1,6.60
Christopher Kane,St. Johnstone, 26, FW,,,17(11),1569,4,1,4,-,1.8,59.3,2.1,1,6.59
Nicky Clark,Dundee United, 30, AM(C),FW,,23(6),1904,8,1,3,-,1.3,68.6,1.8,2,6.59
Sam Cosgrove,Aberdeen, 24, FW,,,9(5),856,3,-,1,-,1.4,66.7,2.7,-,6.59
Tom Grivosti,Ross County, 21, Defender,,,3(2),302,1,-,-,-,0.4,71.6,2,-,6.58
Coll Donaldson,Ross County, 26, D(C),,,23(2),2022,1,-,6,-,0.4,66,3.6,-,6.58
Scott Martin,Hamilton Academical, 24, M(C),,,21(3),1875,1,-,5,-,0.6,62.4,1.5,-,6.58
Ross Laidlaw,Ross County, 28, GK,,,28,2520,-,-,-,-,-,44,0.3,1,6.58
Sam Foley,St. Mirren, 34, DMC,,,10(1),860,-,-,2,-,0.5,62.4,2.3,-,6.57
Scott Pittman,Livingston, 28, AM(C),,,37(1),3322,6,2,4,-,1,69.2,1,1,6.56
Josh Doig,Hibernian, 19, D(L),M(L),,25(3),2012,1,3,2,-,0.7,62.2,1.2,-,6.56
Stephen Kelly,Ross County, 21, M(C),,,13(8),1257,-,2,3,-,0.9,78.3,0.5,1,6.55
Craig Conway,St. Johnstone, 36, AM(CLR),,,19(9),1622,3,2,-,-,0.9,77.7,0.7,1,6.55
Liam Polworth,Motherwell, 26, M(C),,,18(3),1538,-,3,1,1,1.3,79,0.6,-,6.55
Ian Harkes,Dundee United, 26, DMC,,,26(4),2375,1,2,3,-,1,74.3,1.1,-,6.55
Marios Ogkmpoe,Hamilton Academical, 26, FW,,,15(5),1290,3,1,3,-,1.5,59.2,4.6,-,6.55
Luke Bolton,Dundee United, 21, D(R),M(R),,17(6),1533,1,3,2,-,0.5,66.9,0.8,-,6.55
Jaze Kabia,Livingston, 20, Forward,,,1(7),260,1,1,-,-,1.1,65.2,0.9,-,6.55
Aaron Tshibola,Kilmarnock, 26, DMC,,,26(2),2221,3,1,9,-,0.5,82.9,1.5,-,6.54
Jason Naismith,Ross County, 26, D(R),M(R),,12,1080,-,2,-,-,0.9,60.3,2.9,-,6.54
Zeno Rossi,Kilmarnock, 20, D(C),,,7(3),677,-,-,1,-,0.7,63.5,3.3,-,6.53
Leo Fuhr Hjelde,Ross County, 17, Defender,,,7(1),698,1,-,2,-,0.5,64.7,1.1,-,6.53
Aaron Taylor-Sinclair,Livingston, 30, Defender,,,5(1),432,-,-,1,-,0.3,60.5,4,-,6.53
Steve Lawson,Livingston, 26, Midfielder,,,7(8),699,-,-,1,-,0.1,64.7,1.1,1,6.52
Brandon Barker,Rangers, 24, AM(LR),,,4(6),359,2,-,1,-,1.2,88.8,0.2,-,6.52
Efe Ambrose,Livingston, 32, D(CR),,,17(5),1570,-,-,2,-,0.8,70.6,2.4,-,6.52
Tyler Magloire,Motherwell, 22, D(C),,,5(2),508,-,-,1,-,0.1,61.7,3.1,-,6.52
Adam Montgomery,Celtic, 18, Forward,,,1(1),72,-,-,-,-,-,89.6,-,-,6.52
Vasilios Barkas,Celtic, 27, GK,,,15,1350,-,-,-,-,-,87.9,0.2,-,6.51
Charlie Trafford,Hamilton Academical, 29, M(C),,,9(7),807,-,-,1,-,0.4,67.6,2,-,6.51
Jack Simpson,Rangers, 24, D(C),,,4(1),383,-,-,3,-,0.4,86.8,1.2,-,6.50
Callum Booth,St. Johnstone, 30, M(L),,,15(3),1371,-,1,1,-,0.8,76.8,1.4,-,6.50
Iain Vigurs,Ross County, 33, DMC,,,23(2),1825,1,-,13,1,0.5,80,1.5,1,6.50
Brandon Haunstrup,Kilmarnock, 24, D(L),,,17(5),1600,-,1,3,1,0.4,70.1,1.2,-,6.49
Dean Campbell,Aberdeen, 20, M(C),,,12(8),1274,-,-,1,-,0.3,80.8,0.8,-,6.49
Marc McNulty,Dundee United, 28, FW,,,15(6),1453,2,1,3,-,1,70.7,1,1,6.49
Liam Kelly,Motherwell, 25, GK,,,13,1170,-,-,-,-,-,46,0.2,-,6.49
Liam Grimshaw,Motherwell, 26, D(R),,,12(2),1069,-,-,1,-,0.6,71.3,1.4,-,6.49
Djibril Diani,Livingston, 23, Midfielder,,,2(2),213,-,-,-,-,-,85.9,0.5,-,6.48
Oli Shaw,Ross County, 22, FW,,,12(12),1253,6,1,2,-,1.3,73.8,1.6,1,6.48
