Name,Team,Age,Main_role,Secondary_role,third_role,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Rubén Botta,Defensa y Justicia, 31, AM(CLR),FW,,7,561,1,-,2,-,1.9,77.5,0.1,1,7.28
Yeimar Gómez,Union, 28, D(C),,,15,1350,2,-,5,-,0.7,75,3.3,3,7.28
Rafael Delgado,Defensa y Justicia, 31, D(CL),M(L),,16,1434,3,2,2,-,1.3,71.5,2.9,1,7.27
Enzo Kalinski,Estudiantes, 34, DMC,,,15(1),1327,1,1,5,-,1,79.1,4.3,3,7.25
Juan Rodríguez,Defensa y Justicia, 27, D(C),,,22,1934,-,1,1,-,0.4,79.9,3.3,2,7.24
Carlos Quintana,Argentinos Juniors, 33, D(C),,,20,1736,2,-,4,1,0.8,66.3,6,1,7.23
Mariano Bittolo,Newell's Old Boys, 31, D(L),,,23,2070,-,7,3,-,0.3,77,1.8,2,7.22
Cristian Lema,Newell's Old Boys, 31, D(C),,,22,1980,5,-,8,-,1.6,78.1,5.4,4,7.22
Júnior Alonso,Boca Juniors, 28, D(CL),,,11(3),1149,-,1,2,-,0.3,79.5,2.7,-,7.21
Ángel Romero,San Lorenzo, 28, AM(LR),FW,,19(1),1597,5,5,4,-,1.5,76.4,2.2,1,7.20
Nicolás Reniero,San Lorenzo, 26, AM(CL),FW,,2,180,-,-,-,-,6,72,4,-,7.20
Rodrigo Gómez,Huracan, 28, AM(CR),,,18(2),1707,4,2,6,-,1.5,69.1,0.2,6,7.20
Emanuel Maciel,San Lorenzo, 24, DMC,,,1,90,-,-,-,-,-,85.9,1,-,7.19
Robert Rojas,River Plate, 25, D(C),,,13,1170,1,-,1,-,0.9,80.6,2.8,-,7.19
Guillermo Fernández,Boca Juniors, 29, M(C),,,7,588,1,1,2,-,0.6,84.4,0.9,-,7.19
Héctor Martínez,Defensa y Justicia, 23, D(C),,,19(1),1735,2,1,3,-,0.5,78.5,3,2,7.18
Frank Fabra,Boca Juniors, 30, D(L),,,18,1584,2,2,5,1,0.2,76.8,1.2,2,7.18
Nicolás Domínguez,Velez Sarsfield, 22, DMC,,,14,1235,5,1,4,1,1.5,83.2,1.7,1,7.17
Matías García,Gimnasia LP, 29, D(L),M(CL),,19,1489,6,3,6,1,1.8,67.5,2.1,3,7.16
Lisandro López,Boca Juniors, 31, D(C),,,13(1),1111,1,1,3,-,0.6,77.9,3.2,-,7.16
Gabriel Ávalos,Patronato de Parana, 30, FW,,,22,1888,3,4,4,-,2.4,59.4,6.5,1,7.16
Sergio Vittor,Banfield, 31, D(C),DMC,,13(1),1192,1,-,5,-,2.1,68,3.4,2,7.15
