Name,Team,Age,Main_role,Secondary_role,third_role,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Leonel Miguel,FC Groningen, 20, Defender,,,1,83,-,-,-,-,-,90.2,1,-,6.71
Roel Janssen,Fortuna Sittard, 30, D(CL),,,30,2622,-,-,7,1,0.2,79,2,1,6.71
Nicolai Jørgensen,Feyenoord, 30, FW,,,12(11),1189,5,-,-,-,1.3,77.1,1.4,-,6.70
Lucas Woudenberg,SC Heerenveen, 27, D(L),,,23(6),2188,1,-,2,-,0.1,79.4,0.8,1,6.70
Tom Beugelsdijk,Sparta Rotterdam, 30, D(C),,,22(7),2014,2,-,5,-,0.5,77.4,2.5,1,6.69
Mike te Wierik,FC Groningen, 28, D(CR),,,14(1),1251,-,-,5,-,0.2,83.9,1.7,-,6.69
Bram van Polen,PEC Zwolle, 35, D(CLR),,,22(3),1969,4,-,4,1,0.8,85.6,1.4,-,6.69
Paul Quasten,RKC Waalwijk, 36, D(L),,,20(2),1547,-,-,-,-,0.6,80.4,0.8,1,6.69
Giacomo Quagliata,Heracles, 21, D(L),,,24(1),2062,-,2,7,-,0.3,75.4,0.9,-,6.68
Luca de la Torre,Heracles, 23, AM(CL),,,26(6),2381,1,2,1,-,0.6,87.8,0.5,1,6.68
Pantelis Hatzidiakos,AZ Alkmaar, 24, D(C),,,22(1),1911,-,1,5,-,0.2,87.6,1.6,-,6.67
Bryan Smeets,Sparta Rotterdam, 28, M(C),,,21(5),1567,4,3,3,-,1.2,77,1,1,6.67
Jayden Oosterwolde,Twente, 20, D(L),,,24(2),1950,1,3,5,1,0.3,68.8,1.2,1,6.66
Michiel Kramer,ADO Den Haag, 32, FW,,,21(8),1973,6,2,5,-,1.4,63.9,3.7,-,6.66
Ante Coric,VVV-Venlo, 24, Midfielder,,,0(1),27,-,-,-,-,1,92.9,-,-,6.65
Ramiz Zerrouki,Twente, 23, M(C),,,23(8),1956,-,2,4,-,0.1,80.1,1.7,-,6.65
Xavier Mous,PEC Zwolle, 25, GK,,,15,1350,-,-,-,-,-,66.6,0.2,-,6.65
Mo El Hankouri,FC Groningen, 23, M(CLR),,,22(11),2138,3,2,2,1,1,72.4,0.4,2,6.65
Rodney Kongolo,SC Heerenveen, 23, DMC,,,23(8),2154,1,4,5,-,0.2,83.4,1,-,6.64
Lazaros Rota,Fortuna Sittard, 23, D(R),,,20(4),1747,-,-,6,-,0.3,79.9,0.8,-,6.64
Nick Viergever,PSV Eindhoven, 31, D(CL),DMC,,13(4),1095,-,-,3,-,0.1,88.5,2.6,1,6.64
Timo Baumgartl,PSV Eindhoven, 25, D(C),,,6(2),552,-,-,-,-,0.4,84.2,2.8,-,6.63
Oussama Darfalou,Vitesse, 27, FW,,,15(17),1464,8,2,2,-,1.7,65.2,1.8,1,6.63
Bruno Martins Indi,AZ Alkmaar, 29, D(CL),,,27,2282,1,1,2,1,0.4,90.6,1.8,-,6.63
Leroy Fer,Feyenoord, 31, M(CL),,,22(3),1884,-,-,3,-,0.6,89.4,1.9,-,6.63
Simon Gustafson,FC Utrecht, 26, AM(C),,,17(3),1469,2,1,4,-,1.3,82.1,0.7,-,6.63
Erwin Mulder,SC Heerenveen, 32, GK,,,34,3060,-,-,1,-,-,74.1,0.1,2,6.63
Tomás Suslov,FC Groningen, 18, AM(C),,,17(11),1492,2,5,1,-,1.4,76.5,0.4,1,6.63
Mark van der Maarel,FC Utrecht, 31, D(CLR),,,19(6),1711,2,3,5,-,0.5,81.6,1.1,-,6.62
Marko Vejinovic,ADO Den Haag, 31, DMC,,,14(3),1309,-,1,7,-,1.1,77.3,0.9,1,6.62
Anas Tahiri,RKC Waalwijk, 26, M(C),,,33,2712,1,4,1,-,0.8,84.5,0.3,-,6.62
Luciano Narsingh,Feyenoord, 30, AM(LR),FW,,3(6),393,1,1,-,-,1,86.5,0.4,-,6.62
Ramon Pascal Lundqvist,FC Groningen, 24, M(CL),,,15(10),1392,2,2,2,-,1,75.1,0.5,-,6.62
Yvon Mvogo,PSV Eindhoven, 26, GK,,,33,2970,-,-,-,-,-,80.6,0.2,-,6.62
Thijs Oosting,RKC Waalwijk, 21, FW,,,15(2),1178,4,3,2,-,0.8,64.7,0.8,2,6.62
Remko Pasveer,Vitesse, 37, GK,,,33,2970,-,-,-,-,-,65.5,0.1,-,6.62
Timo Letschert,AZ Alkmaar, 28, D(CLR),,,16(4),1370,-,1,1,-,0.3,88.6,1.7,-,6.62
Godfried Roemeratoe,Twente, 21, DMC,,,25(5),2218,-,-,3,-,0.5,82.2,0.6,-,6.61
Luuk Koopmans,ADO Den Haag, 27, GK,,,19,1710,-,-,-,-,-,59.1,0.3,-,6.61
Wessel Dammers,FC Groningen, 26, D(C),,,16(11),1583,1,1,8,-,0.2,82.6,2,-,6.61
Mica Pinto,Sparta Rotterdam, 27, D(L),,,23(2),1920,1,2,5,1,0.2,73.7,0.9,1,6.61
Ismail Azzaoui,Heracles, 23, AM(CLR),,,11(7),1075,1,2,1,-,0.6,72.2,0.2,-,6.60
Aaron Meijers,Sparta Rotterdam, 33, D(L),DMC,,12(12),1124,-,4,2,-,0.3,67.1,1,-,6.60
Rami Kaib,SC Heerenveen, 24, D(L),,,12(3),962,-,1,1,-,0.1,72.3,0.5,-,6.60
Sherel Floranus,SC Heerenveen, 22, D(LR),,,26(3),2337,1,-,4,-,0.2,81.2,0.8,-,6.59
Luciano Narsingh,Twente, 30, AM(LR),FW,,13(4),1132,1,5,-,-,0.9,69.2,0.5,1,6.58
Sam Kersten,PEC Zwolle, 23, D(C),,,28,2399,-,-,4,-,0.3,86.6,1.2,-,6.58
Lars Nieuwpoort,RKC Waalwijk, 26, D(C),,,2(1),193,-,-,-,-,0.3,78.7,1,-,6.58
Zinedine Machach,VVV-Venlo, 25, AM(C),,,18(6),1478,-,5,3,-,0.6,73.4,0.8,1,6.58
Ola John,RKC Waalwijk, 29, AM(LR),,,16(7),1070,2,2,-,-,1,73.9,0.8,-,6.58
Sinan Bakis,Heracles, 27, FW,,,20(7),1648,10,-,4,1,1.5,71.8,2.1,2,6.58
Daniël van Kaam,FC Groningen, 20, DMC,,,29(3),2561,1,-,-,-,0.7,84.1,1,1,6.58
Luciano Carty,FC Emmen, 19, Forward,,,0(2),55,-,1,1,-,2,73.7,0.5,-,6.57
Enzo Cornelisse,Vitesse, 18, Defender,,,4(2),337,-,-,-,1,0.2,86.3,0.8,-,6.57
Leon Guwara,VVV-Venlo, 24, D(L),M(L),,16,1376,-,-,-,-,0.3,72.7,1.2,-,6.57
Thomas Bruns,Vitesse, 29, AM(CL),,,14(7),1166,-,2,5,-,0.4,80.4,0.5,-,6.57
Hamdi Akujobi,SC Heerenveen, 21, Midfielder,,,3(3),337,-,-,1,-,0.2,83.1,0.5,-,6.57
Marco Bizot,AZ Alkmaar, 30, GK,,,33,2965,-,-,2,1,-,72.5,0.4,1,6.56
Emil Hansson,Fortuna Sittard, 22, AM(L),,,17(15),1605,2,4,-,-,1.1,78.9,0.1,1,6.56
Shaquille Pinas,ADO Den Haag, 23, D(C),,,24(3),2199,3,-,5,-,0.4,77.1,1.4,-,6.56
Martin Fraisl,ADO Den Haag, 28, GK,,,15,1350,-,-,-,-,-,65.7,0.2,-,6.56
Othmane Boussaid,FC Utrecht, 21, AM(LR),,,16(10),1317,2,2,2,-,0.7,75.8,0.2,-,6.55
Benjamin Nygren,SC Heerenveen, 19, AM(R),,,15(13),1280,4,2,1,-,1.1,79.2,0.6,-,6.55
