Name,Team,Age,Main_role,Secondary_role,third_role,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Daniel Fernandes,Hamburg, 28, GK,,,2,180,-,-,-,-,-,79.4,0.5,-,6.55
Jasmin Fejzic,Eintracht Braunschweig, 35, GK,,,26(1),2365,-,-,2,-,-,58.2,0.2,1,6.54
Tobias Mohr,FC Heidenheim, 25, M(CL),,,10(16),1034,2,4,1,-,1.1,72.7,0.2,-,6.54
Johannes van den Bergh,Holstein Kiel, 34, D(L),M(L),,25,2149,-,1,4,1,0.3,78.9,0.4,-,6.54
Jonas David,Hamburg, 21, Defender,,,1(2),81,-,-,-,-,-,84.8,1,-,6.54
Hans Nunoo Sarpei,Greuther Fuerth, 22, DMC,,,15(13),1494,1,1,4,-,0.3,83.4,1.4,-,6.54
Sören Gonther,Erzgebirge Aue, 34, D(C),,,33,2850,1,-,4,-,0.2,84,1.3,-,6.54
Christian Strohdiek,Wuerzburger Kickers, 33, D(C),,,16,1440,-,-,2,-,0.3,68.7,2.8,-,6.54
Kevin Wolze,Osnabrueck, 31, D(L),M(L),,19(4),1549,-,2,7,-,0.8,70,0.9,-,6.54
Christoph Klarer,Fortuna Duesseldorf, 20, D(C),,,9(4),831,-,-,-,-,0.2,77.9,2.7,-,6.53
Dzenis Burnic,FC Heidenheim, 23, DMC,,,9(3),654,-,1,5,-,0.7,80.1,0.2,-,6.53
Stefanos Kapino,Sandhausen, 27, GK,,,18,1620,-,-,3,-,-,62.6,0.1,1,6.53
Jonas Föhrenbach,FC Heidenheim, 25, D(CL),,,19(4),1746,-,-,-,-,0.2,71.3,1.6,-,6.53
Thomas Dähne,Holstein Kiel, 27, GK,,,10,900,-,-,-,-,-,75.7,-,1,6.53
Jan Hochscheidt,Erzgebirge Aue, 33, M(CLR),FW,,15(12),1440,1,5,-,-,1,61.9,0.7,1,6.53
Khaled Narey,Hamburg, 26, D(R),M(LR),,13(16),1332,3,1,2,-,1,68.5,0.2,1,6.52
Philipp Riese,Erzgebirge Aue, 31, DMC,M(L),,22(1),1854,-,3,6,-,0.5,74.8,0.7,-,6.52
Dejan Stojanovic,St. Pauli, 27, GK,,,19,1710,-,-,-,-,-,57.2,0.4,-,6.52
Dominik Wydra,Eintracht Braunschweig, 27, D(C),DMC,,28(1),2350,-,1,9,1,0.8,77.1,1.1,-,6.51
Lion Schweers,Wuerzburger Kickers, 25, Defender,,,1,90,-,-,-,-,2,66.7,1,-,6.51
Dennis Borkowski,Nuernberg, 19, FW,,,7(6),653,3,-,2,-,1.2,68.9,0.9,-,6.51
Tim Breithaupt,Karlsruher SC, 19, M(C),,,5(1),406,-,-,-,-,0.3,85.3,1,-,6.51
Aleksandar Ignjovski,Holstein Kiel, 30, D(LR),M(CLR),,6(5),463,-,-,3,-,0.2,72.7,0.3,-,6.50
Gerrit Nauber,Sandhausen, 29, D(C),,,22(2),1829,-,-,7,-,0.2,73.2,1.5,-,6.49
Yassin Ben Balla,Eintracht Braunschweig, 25, DMC,,,22(6),1878,2,-,4,-,0.5,72.3,1.1,-,6.49
Thomas Pledl,Fortuna Duesseldorf, 27, AM(CLR),,,9(14),1120,1,3,3,-,1,70.1,0.5,-,6.49
Florian Pick,FC Heidenheim, 25, AM(L),,,9(19),1158,-,2,1,-,1,81.9,0.5,-,6.48
Adam Dzwigala,St. Pauli, 25, D(C),,,6(7),608,-,-,2,-,0.3,79.8,1.4,-,6.48
Arne Feick,Wuerzburger Kickers, 33, D(L),M(L),,25(3),2181,-,2,1,-,1.1,67.5,1.8,-,6.48
Tore Reginiussen,St. Pauli, 35, D(C),,,3(7),402,-,-,2,-,-,80.1,1.8,1,6.48
Clemens Fandrich,Erzgebirge Aue, 30, M(C),,,25(3),2337,1,-,4,-,0.7,77.9,0.5,-,6.47
Ben Zolinski,Erzgebirge Aue, 29, AM(CLR),FW,,23(5),1902,2,2,5,-,1.2,70.6,0.6,1,6.47
Rick van Drongelen,Hamburg, 22, D(CL),,,2(2),215,-,1,1,-,-,84.8,1.8,-,6.47
Diego Contento,Sandhausen, 31, D(L),M(L),,16(8),1415,-,2,6,1,0.5,61.9,0.5,-,6.47
Scott Kennedy,Jahn Regensburg, 24, D(C),,,16(6),1380,-,-,2,-,0.5,74.6,1.7,1,6.47
Lars Dietz,Wuerzburger Kickers, 24, D(C),DMC,,17(3),1483,4,-,4,-,0.7,76.7,2.5,1,6.46
Kaan Caliskaner,Jahn Regensburg, 21, AM(C),FW,,20(12),1699,1,2,4,-,0.9,70.3,1.3,-,6.46
Tim Latteier,Nuernberg, 21, Midfielder,,,4(5),486,-,1,1,-,0.2,78,0.4,-,6.46
Frank Ronstadt,Wuerzburger Kickers, 23, D(R),,,11(13),1101,2,-,2,-,0.3,77.4,0.3,1,6.45
Ewerton,Wuerzburger Kickers, 32, D(C),,,8,654,-,-,1,1,0.1,80.9,3,-,6.45
Fabio Kaufmann,Eintracht Braunschweig, 28, M(R),,,26(6),2115,5,2,2,-,1.3,56.8,0.7,1,6.45
Patrick Schmidt,Sandhausen, 27, AM(R),FW,,2(4),236,1,-,-,1,1.7,61,3,-,6.45
