Name,Team,Age,Main_role,Secondary_role,third_role,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Aylton Boa Morte,Portimonense, 27, AM(LR),,,29(5),2574,5,4,3,-,1.1,67.2,0.5,-,6.63
Nicolás Gaitán,Braga, 33, M(CLR),FW,,5(13),650,2,1,1,-,0.8,74,0.3,2,6.63
Riccieli,Famalicao, 22, D(C),,,22(4),1823,1,-,7,1,0.2,87.1,2.1,1,6.62
Silvio,Vitoria de Guimaraes, 33, D(LR),,,10,857,-,-,5,-,0.3,83.2,1.1,-,6.62
Yohan Tavares,Tondela, 33, D(C),,,28,2424,-,-,3,-,0.2,83.1,2.6,-,6.62
Samuel Lino,Gil Vicente, 21, AM(R),FW,,21(12),2017,9,1,2,-,1.8,80,1,2,6.62
Lazar Rosic,Moreirense, 27, D(C),,,32(1),2893,-,-,5,-,0.3,80.8,2.6,-,6.62
Mateus Pasinato,Moreirense, 28, GK,,,30,2700,-,-,3,-,-,55,0.3,2,6.62
Filipe Soares,Moreirense, 22, AM(C),FW,,27(4),2404,2,2,6,-,1.1,79.7,0.5,2,6.62
Rafik Guitane,Maritimo, 22, AM(C),,,18(8),1507,-,1,4,-,0.4,80.2,0.1,1,6.62
David Carmo,Braga, 21, D(C),,,11(1),999,-,-,4,2,0.8,83.9,2.3,-,6.62
Pawel Kieszek,Rio Ave, 37, GK,,,34,3060,-,-,-,-,-,69.9,0.4,2,6.62
Dudu,Nacional, 21, Forward,,,1(2),31,1,-,-,-,0.3,83.3,0.3,-,6.62
Anthony D'Alberto,Moreirense, 26, D(LR),M(R),,21(3),1772,-,-,5,-,0.1,75.2,1.4,-,6.61
Enzo Martínez,Tondela, 23, D(C),,,21(8),1989,-,1,9,-,0.4,78,2.6,1,6.61
Samuel,Portimonense, 27, GK,,,29(1),2671,-,-,-,-,-,61.6,0.2,1,6.61
Luiz Lúcio Reis Júnior,Famalicao, 20, GK,,,23,2070,-,-,1,-,-,64.6,0.3,1,6.61
Fábio Coentrão,Rio Ave, 33, D(L),M(LR),,11(2),934,2,-,4,-,0.8,75.8,1.1,-,6.61
Ygor Nogueira,Gil Vicente, 26, D(C),,,21(3),1855,-,-,9,2,0.5,80.6,3,2,6.61
Rodrigão,Gil Vicente, 25, D(C),,,23(7),2171,1,1,4,-,0.4,80,1.9,-,6.61
Lucas Piazon,Braga, 27, AM(CLR),FW,,11(9),919,4,4,1,-,0.8,86.4,0.5,1,6.61
