Name,Team,Age,Main_role,Secondary_role,third_role,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Lukasz Skorupski,Bologna, 30, GK,,,28,2520,-,-,1,-,-,74.7,0.2,2,6.71
Rodrigo Palacio,Bologna, 39, AM(CLR),FW,,28(8),2508,5,5,5,-,1.5,79.4,1,2,6.71
Mattia Bani,Genoa, 27, D(C),,,10(1),923,-,-,4,-,0.5,84.1,3,-,6.71
Giangiacomo Magnani,Verona, 25, D(C),,,15(10),1510,-,-,8,-,0.5,75.5,3.1,2,6.70
Yordan Osorio,Parma Calcio 1913, 27, D(C),,,21(2),1812,-,-,2,-,0.3,88.5,2,1,6.70
Gastón Brugman,Parma Calcio 1913, 28, M(C),,,21(5),1625,1,1,7,-,0.7,87.5,0.3,1,6.70
Gian Marco Crespi,Crotone, 19, Goalkeeper,,,1,90,-,-,-,-,-,86.1,-,-,6.70
Gianluca Scamacca,Genoa, 22, FW,,,13(13),1349,8,2,1,-,1.8,66.1,1.6,3,6.70
Arkadiusz Reca,Crotone, 25, D(L),M(L),,28(2),2319,2,3,7,-,1,73.3,1.1,-,6.70
Christian Eriksen,Inter, 29, M(CLR),,,17(9),1393,3,-,1,-,1.2,87.3,0.3,1,6.69
Jerdy Schouten,Bologna, 24, DMC,,,28(6),2520,1,1,8,1,0.3,87.1,1.1,1,6.69
Antonin Barak,Verona, 26, AM(C),,,32(2),2772,7,3,5,1,1.3,78.8,1.9,1,6.69
Matteo Gabbia,AC Milan, 21, D(C),,,7(1),557,-,-,2,-,0.6,91.7,2.1,-,6.69
Dejan Kulusevski,Juventus, 21, AM(CR),FW,,19(16),1919,4,3,7,-,1,81.3,0.3,1,6.69
Mattia Destro,Genoa, 30, FW,,,22(7),1617,11,1,5,-,1.3,69.1,1.2,4,6.68
Jordan Veretout,Roma, 28, M(C),,,25(4),2063,10,2,4,-,1.4,88.1,0.4,-,6.68
Hamed Traore,Sassuolo, 21, AM(CLR),,,20(15),1792,5,2,6,-,1.2,79.6,0.4,1,6.68
Erick Pulgar,Fiorentina, 27, DMC,,,21(10),1999,1,3,8,-,0.5,85.1,0.9,-,6.68
Weston McKennie,Juventus, 22, D(C),M(CLR),,18(16),1699,5,2,5,-,0.9,85.4,0.9,1,6.68
Giuseppe Pezzella,Parma Calcio 1913, 23, D(L),M(L),,21(3),1835,1,4,7,-,0.3,81.8,0.8,-,6.68
Domenico Criscito,Genoa, 34, D(CL),M(L),,20(3),1727,1,-,6,-,0.3,82.3,0.9,-,6.68
Albin Ekdal,Sampdoria, 31, M(C),,,26(6),2304,2,1,9,-,0.4,83.8,1.1,1,6.68
Ivan Perisic,Inter, 32, M(CLR),FW,,20(12),1803,4,4,3,-,1.1,76,1,2,6.67
Pedro,Roma, 33, M(CLR),,,20(7),1601,5,2,3,1,1.6,81.4,0.1,-,6.67
Matteo Scozzarella,Parma Calcio 1913, 32, DMC,,,3,154,-,-,1,-,-,84.9,-,-,6.67
Alex Ferrari,Sampdoria, 26, D(CR),,,11(1),882,-,1,3,-,-,84.2,1.4,-,6.67
Roberto Pereyra,Udinese, 30, M(CLR),FW,,34,2936,5,7,8,-,0.8,87.4,0.1,-,6.67
Ivan Ilic,Verona, 20, M(C),,,19(10),1834,2,-,2,-,0.4,85.8,1.2,1,6.67
Rafael Tolói,Atalanta, 30, D(C),,,29(2),2541,2,-,10,-,0.9,83.3,1.5,-,6.67
Manolo Gabbiadini,Sampdoria, 29, AM(CLR),FW,,10(6),876,3,2,1,-,1.8,75,0.8,1,6.67
Lucas Leiva,Lazio, 34, D(C),M(C),,30(2),2157,-,-,10,-,0.4,86.8,1.5,-,6.67
Luiz Felipe,Lazio, 24, D(C),,,10(4),911,-,-,5,-,0.3,91.3,1.1,-,6.67
Gaetano Letizia,Benevento, 30, D(LR),M(LR),,18(6),1569,3,1,2,-,0.5,80.4,0.6,1,6.67
Darko Lazovic,Verona, 30, M(CLR),,,27(5),2504,3,6,3,-,1,76.7,0.5,1,6.67
Alexis Saelemaekers,AC Milan, 21, M(R),,,27(5),2037,2,4,5,1,0.9,82.6,0.2,1,6.66
Andrea Carboni,Cagliari, 20, D(C),,,12(3),1087,-,1,2,-,0.3,79.4,1.1,-,6.66
Adam Marusic,Lazio, 28, D(CR),M(LR),,33(3),2971,2,3,3,-,0.8,85.4,0.8,2,6.66
Georgios Kyriakopoulos,Sassuolo, 25, D(L),,,16(7),1461,1,-,1,1,1,85.7,0.7,-,6.66
Leonardo Bonucci,Juventus, 34, D(C),,,24(3),2034,2,-,4,-,0.6,90.4,1.3,-,6.66
Simone Verdi,Torino, 28, AM(CLR),FW,,17(16),1621,1,5,6,-,1.2,77.6,0.1,1,6.66
Lyanco,Torino, 24, D(C),,,21(2),1959,-,-,8,-,0.5,85.9,1.6,-,6.66
Adama Soumaoro,Bologna, 28, D(CR),,,19(1),1755,1,-,4,-,0.4,88.9,3,-,6.65
Federico Ceccherini,Verona, 29, D(C),,,23(2),1749,-,-,8,-,0.5,80.9,2.9,-,6.65
Tomás Rincón,Torino, 33, M(CR),,,33(3),2861,1,1,8,1,0.6,84.6,1.4,-,6.65
Chris Smalling,Roma, 31, D(CR),,,13(3),1110,-,1,3,-,0.4,90.7,1.6,-,6.65
Rick Karsdorp,Roma, 26, D(R),M(R),,28(6),2550,1,6,2,-,0.4,83.8,0.2,-,6.64
Nicolas Viola,Benevento, 31, DMC,,,12(5),1037,5,3,1,-,1.1,71.4,0.4,1,6.64
Bryan Cristante,Roma, 26, D(C),M(C),,22(12),2149,1,3,8,-,0.8,83.1,1,1,6.64
Tolgay Arslan,Udinese, 30, M(C),,,25(5),1837,3,-,9,-,0.7,85.6,0.4,1,6.64
Andreas Cornelius,Parma Calcio 1913, 28, FW,,,21(8),1903,1,4,4,-,1,68.2,5.2,1,6.64
Adrien Tameze,Verona, 27, M(C),,,28(5),2313,1,-,6,-,0.5,80,1.4,1,6.64
Giorgio Chiellini,Juventus, 36, D(C),,,16(1),1387,-,1,4,-,0.4,92.1,1.6,-,6.64
Alex Meret,Napoli, 24, GK,,,22,1980,-,-,-,-,-,87.8,0.2,1,6.64
Charalampos Lykogiannis,Cagliari, 27, D(L),M(L),,29(2),2430,4,2,6,2,0.9,73,1.9,1,6.63
Lucas Martínez Quarta,Fiorentina, 25, D(C),,,15(6),1483,1,-,4,1,0.8,80.8,1.3,1,6.63
Thomas Strakosha,Lazio, 26, GK,,,9,810,-,-,1,-,-,83.1,0.3,-,6.63
Mario Pasalic,Atalanta, 26, M(C),,,10(15),1115,6,2,2,-,0.8,86.1,0.6,2,6.63
Mário Rui,Napoli, 30, D(L),M(L),,17(10),1666,-,2,4,-,0.7,84.6,0.4,-,6.63
Julian Chabot,Spezia, 23, D(C),,,19(6),1655,1,1,9,1,0.4,85.2,2.3,-,6.63
Maya Yoshida,Sampdoria, 32, D(CR),,,25(7),2273,1,2,5,-,0.3,85.1,1.4,-,6.63
Luca Cigarini,Crotone, 34, M(C),,,13(1),938,-,-,3,1,1.1,85.3,0.7,-,6.63
Arthur,Juventus, 24, DMC,,,13(9),1158,1,-,3,-,0.1,94.1,0.1,-,6.63
Lorenzo Tonelli,Sampdoria, 31, D(C),,,21(2),1786,1,-,11,-,0.6,81.3,1.8,1,6.62
Rodrigo Becão,Udinese, 25, D(C),,,32(3),2784,1,-,5,-,0.3,86.7,1.7,2,6.62
Adam Ounas,Cagliari, 24, AM(CLR),FW,,3(4),307,-,-,-,-,0.9,72.1,0.4,-,6.62
Manuel Lazzari,Lazio, 27, M(R),,,30(2),2620,2,5,2,1,0.8,85,0.4,-,6.62
Kastriot Dermaku,Parma Calcio 1913, 29, D(C),,,1(1),99,-,-,-,-,-,87.5,-,-,6.62
Samir Handanovic,Inter, 36, GK,,,37,3242,-,-,1,-,-,84.8,0.2,2,6.62
Tommaso Augello,Sampdoria, 26, D(L),,,37,3222,1,3,2,1,0.2,79.5,1.2,1,6.62
Kamil Glik,Benevento, 33, D(C),,,36,3207,2,1,7,1,0.8,88.5,2.4,-,6.61
Stefano Sturaro,Genoa, 28, M(CL),,,6,448,1,-,1,-,0.8,75,1.2,-,6.61
Kostas Manolas,Napoli, 29, D(C),,,27(3),2301,-,-,5,-,0.3,92.8,1.4,-,6.61
Emmanuel Gyasi,Spezia, 27, AM(LR),,,32(5),2858,4,6,4,-,0.8,84.5,0.7,-,6.61
Gervinho,Parma Calcio 1913, 34, M(LR),FW,,25(2),2032,5,1,-,-,1.2,82.4,-,-,6.61
Tommaso Pobega,Spezia, 21, M(C),,,17(3),1243,6,-,6,-,1.1,77.3,0.9,1,6.61
Rolando Mandragora,Torino, 23, DMC,,,17,1526,3,1,3,1,1.6,83.7,0.6,-,6.61
Antonio Mirante,Roma, 37, GK,,,13,1154,-,-,2,-,-,74.9,-,-,6.60
Graziano Pellè,Parma Calcio 1913, 35, FW,,,6(7),611,1,2,1,-,1.1,76.5,3.5,-,6.60
Riccardo Sottil,Cagliari, 21, AM(LR),,,12(9),1191,2,1,3,-,1.2,81.3,0.1,-,6.60
Giacomo Raspadori,Sassuolo, 21, FW,,,13(14),1230,6,-,1,-,0.9,82.6,0.1,2,6.60
Brahim Díaz,AC Milan, 21, AM(CL),,,15(12),1236,4,3,2,-,1,87.1,0.1,1,6.60
Mikkel Damsgaard,Sampdoria, 20, AM(L),,,18(17),1772,2,4,3,-,0.7,73.3,0.7,-,6.60
Arturo Vidal,Inter, 34, M(CR),,,14(9),1144,1,1,3,-,0.9,86.6,0.8,-,6.60
Nicola Sansone,Bologna, 29, AM(LR),FW,,11(15),1167,2,2,2,-,1.2,82.9,0.2,-,6.60
Yann Karamoh,Parma Calcio 1913, 22, AM(LR),FW,,16(8),1302,2,1,3,-,0.9,80,0.4,1,6.60
Cristiano Biraghi,Fiorentina, 28, D(L),M(L),,31(4),2809,1,5,8,-,0.7,75.7,0.3,1,6.60
Pierre Kalulu,AC Milan, 20, D(CR),,,7(6),727,1,1,1,-,0.2,87.6,0.9,-,6.59
Amir Rrahmani,Napoli, 27, D(CL),,,12(4),1091,1,-,2,-,0.3,90.9,1.5,-,6.59
Lucien Agoume,Spezia, 19, M(C),,,9(3),800,-,-,2,-,0.2,89.6,1,-,6.59
Miguel Veloso,Verona, 35, M(C),,,15(6),1320,2,2,1,-,0.6,79.5,1.1,-,6.59
Pau López,Roma, 26, GK,,,20(1),1816,-,-,-,-,-,76.8,0.1,-,6.59
Borja Mayoral,Roma, 24, FW,,,18(13),1554,10,2,1,-,1.3,79.6,0.5,1,6.59
Pepe Reina,Lazio, 38, GK,,,29,2610,-,-,1,-,-,80.2,0.1,-,6.59
Samir,Udinese, 26, D(CL),,,24(6),2209,1,-,6,-,0.4,88.1,1.7,-,6.58
Luca Ceppitelli,Cagliari, 31, D(C),,,16(3),1469,-,-,3,-,0.4,84.4,2.6,1,6.58
Koffi Djidji,Crotone, 28, D(CL),,,16(4),1522,1,-,4,-,0.2,82.6,1.4,-,6.58
