Name,Total_shots,OutOfBox,SixYardBox,PenaltyArea
Matchoi Djaló,0.3,0.3,-,-
Hugo Marques,-,-,-,-
Miullen,0.1,0.1,-,-
Guilherme Schettine,0.7,0.3,-,0.4
Cristian Tassano,-,-,-,-
Marcelinho,-,-,-,-
João Neto,0.2,-,-,0.2
Tomislav Strkalj,0.6,0.2,-,0.4
Miguel Bandarra,-,-,-,-
Ivan Zlobin,-,-,-,-
Pedro Marques,-,-,-,-
Mamadou Loum,-,-,-,-
Marcello Trotta,0.5,0.3,-,0.2
Edi Semedo,0.4,0.1,0.2,0.1
Marco Matias,0.4,0.1,-,0.3
Dário Essugo,-,-,-,-
Kibe,0.5,-,-,0.5
Romário Baró,0.3,0.1,-,0.2
Mabrouk Rouai,0.3,0.2,-,0.2
Diogo Teixeira,-,-,-,-
Adriano Castanheira,0.2,0.2,-,0.1
Riccardo Piscitelli,-,-,-,-
Júnior Brandão,1.2,0.3,-,0.9
Kuku Emmanuel Fidelis,-,-,-,-
Rodrigo Martins Gomes,0.3,-,-,0.3
Noah Jean Holm,0.3,-,0.1,0.2
Fernando Medeiros,0.1,0.1,-,-
André Paulo,-,-,-,-
Musa Juwara,0.7,-,0.3,0.3
Lyle Foster,0.6,0.4,-,0.2
François-Xavier Fumu Tamuzo,0.4,0.1,0.2,0.2
Renan,0.2,-,-,0.2
Lucas Silva,0.2,0.2,-,-
Bruno Moreira,0.4,0.1,-,0.3
Walterson,0.5,0.5,-,-
Richard Rodrigues,0.4,0.2,0.1,0.1
Rubén Oliveira,0.3,-,-,0.3
Martín Calderón,0.6,0.4,-,0.3
Tiago Morais,-,-,-,-
Rui Fonte,0.2,-,-,0.2
Rúben Fonseca,0.7,-,-,0.7
Iván Marcano,-,-,-,-
Jota Gonçalves,-,-,-,-
José Marcelo,-,-,-,-
Mile Svilar,-,-,-,-
Alhassan Wakaso,0.1,0.1,-,-
Carlos Vinícius,1,-,-,1
Chima Akas,0.5,-,-,0.5
David Tavares,0.1,-,-,0.1
Lucas Marques,-,-,-,-
Robinho,-,-,-,-
Alvarinho,0.8,0.5,-,0.3
Ricardo Ferreira,-,-,-,-
Sori Mané,-,-,-,-
Joel Sousa,-,-,-,-
Diogo Silva,-,-,-,-
Gustavo Viera,-,-,-,-
Zé Oliveira,-,-,-,-
Léo Vieira,-,-,-,-
Bracali,-,-,-,-
Caju,-,-,-,-
Nilton Varela,0.4,0.2,-,0.2
Alejandro Gómez,-,-,-,-
Lee Seung-Woo,0.3,0.3,-,-
Dani Morer,-,-,-,-
Ahmed Isaiah,-,-,-,-
Vladan Danilovic,0.3,0.2,-,0.1
Facundo Ferreyra,-,-,-,-
Cristián Borja,-,-,-,-
Manuel Namora,-,-,-,-
Abdul Wahab Ibrahim,-,-,-,-
Abou Ouattara,-,-,-,-
Edgar Pacheco,-,-,-,-
Sassá,0.3,0.1,-,0.1
Toni Martínez,-,-,-,-
Leandro Silva,-,-,-,-
Tomás Silva,-,-,-,-
Guilherme Oliveira,-,-,-,-
Diogo Costa,-,-,-,-
Vitor Oliveira,1,-,-,1
Jorge Pereira,-,-,-,-
Charles,-,-,-,-
Quentin Beunardeau,-,-,-,-
