Name,Total_shots,OutOfBox,SixYardBox,PenaltyArea,League
Kepa Arrizabalaga,-,-,-,-,Premier_league
Demarai Gray,1,1,-,-,Premier_league
Hannibal Mejbri,-,-,-,-,Premier_league
Nathan Broadhead,-,-,-,-,Premier_league
Jake Livermore,0.3,0.2,-,0.1,Premier_league
Charlie Austin,0.6,0.4,-,0.2,Premier_league
Karlan Grant,0.8,0.1,-,0.6,Premier_league
Eric García,0.3,0.2,-,0.2,Premier_league
Yan Valery,0.7,0.3,-,0.3,Premier_league
Islam Slimani,1,-,-,1,Premier_league
Kyle Edwards,0.4,-,-,0.4,Premier_league
Denis Odoi,0.7,0.7,-,-,Premier_league
Hal Robson-Kanu,0.7,0.4,-,0.3,Premier_league
José Izquierdo,1,1,-,-,Premier_league
Andi Zeqiri,0.8,0.1,0.1,0.6,Premier_league
Neeskens Kebano,1.2,0.6,-,0.6,Premier_league
Mat Ryan,-,-,-,-,Premier_league
Romaine Sawyers,0.2,0.2,-,-,Premier_league
Shane Long,0.2,0.1,-,0.1,Premier_league
Joshua King,0.3,0.1,0.1,0.1,Premier_league
Josh Onomah,0.5,0.2,-,0.4,Premier_league
Marek Rodák,-,-,-,-,Premier_league
Martin Kelly,-,-,-,-,Premier_league
Wes Morgan,-,-,-,-,Premier_league
Zack Steffen,-,-,-,-,Premier_league
Michael Hector,0.3,-,-,0.3,Premier_league
Felipe Anderson,-,-,-,-,Premier_league
Mamadou Sakho,0.3,-,-,0.3,Premier_league
Caleb Watts,-,-,-,-,Premier_league
Jonjoe Kenny,-,-,-,-,Premier_league
Phil Jagielka,-,-,-,-,Premier_league
