Name,Total_shots,OutOfBox,SixYardBox,PenaltyArea
Kamran Aliev,0.6,0.5,-,0.2
Sergey Serchenkov,0.8,0.6,-,0.3
Mikhail Merkulov,0.6,0.2,-,0.3
Ambroise Oyongo,-,-,-,-
Adolfo Gaich,0.6,0.2,0.1,0.4
Dmitri Sysuev,0.4,0.1,-,0.3
Ruslan Kambolov,0.4,0.2,-,0.2
Kirill Folmer,1,0.3,-,0.7
Nikita Kalugin,-,-,-,-
Giorgi Shelia,-,-,-,-
Roman Emelyanov,0.5,0.4,-,0.1
Luka Djordjevic,1.1,0.4,0.1,0.6
Zuriko Davitashvili,1,-,-,1
Leon Musaev,0.3,-,-,0.3
Emiliano Rigoni,0.4,0.1,-,0.3
Konstantin Rausch,0.3,-,-,0.3
Roman Minaev,0.3,-,-,0.3
Sergey Chibisov,-,-,-,-
Vyacheslav Litvinov,-,-,-,-
Ivan Ignatyev,1.4,0.1,0.1,1.1
Mukhammad Sultanov,1,0.6,-,0.4
Dmitriy Poloz,1.7,0.7,-,1
Igor Konovalov,0.2,0.2,-,-
Artur Nigmatullin,-,-,-,-
Jaka Bijol,-,-,-,-
Dmitriy Tarasov,-,-,-,-
Anton Terekhov,0.8,0.5,-,0.4
Aleksandr Golovnya,-,-,-,-
Andrei Murnin,-,-,-,-
Igor Bezdenezhnykh,1.4,1.3,-,0.1
Vlasdilav Yakovlev,0.5,-,-,0.5
Slobodan Rajkovic,0.6,-,-,0.6
Maksim Turischev,-,-,-,-
Nikita Belousov,-,-,-,-
Vladimir Moskvichev,-,-,-,-
Vladimir Medved,-,-,-,-
Idris Umaev,0.8,-,-,0.8
Aleks Matsukatov,0.2,-,-,0.2
Danila Emelyanov,-,-,-,-
Olivier Thill,0.8,0.8,-,-
Andrey Bokovoy,-,-,-,-
Arseni Logashov,-,-,-,-
Andrés Ponce,0.9,0.1,-,0.8
Alvi Adilkhanov,-,-,-,-
Ivan Kuzmichev,-,-,-,-
Nikita Karmaev,0.2,0.2,-,-
Maksim Volodko,-,-,-,-
Farkhod Vasiev,0.2,0.1,-,0.1
Vitaliy Balashov,0.3,0.2,-,0.2
Amir Adouyev,0.5,0.4,-,0.1
Danil Lipovoy,0.3,-,-,0.3
Aleksey Chernov,-,-,-,-
David Karaev,0.3,0.2,-,0.2
Anton Kilin,0.5,0.2,0.1,0.2
Kirill Kolesnichenko,1,0.5,-,0.5
Oleg Nikolaev,0.3,-,-,0.3
Said Akhmaev,0.3,0.3,-,-
Ruslan Litvinov,-,-,-,-
Islam Alsultanov,0.1,-,-,0.1
Gela Zaseev,-,-,-,-
