Name,Total_shots,OutOfBox,SixYardBox,PenaltyArea
Marcus Bettinelli,-,-,-,-
Rodrigo Riquelme,0.7,0.4,0.1,0.3
Danny Ward,0.8,-,0.1,0.7
Mads Bidstrup,0.2,-,-,0.2
Danny Simpson,-,-,-,-
Joseph Hungbo,0.4,-,-,0.4
Dominik Frieser,0.6,0.1,0.1,0.4
Mickel Miller,1,0.4,0.1,0.4
Jiri Skalak,-,-,-,-
Bali Mumba,0.5,0.3,-,0.3
Jamie Allen,0.4,0.2,-,0.1
Liam Cullen,1.1,0.2,0.2,0.7
Kieran Sadlier,0.6,0.4,0.1,0.1
George Thomas,0.6,0.2,-,0.4
Kyle Vassell,1.2,0.5,-,0.7
Jonathan Leko,0.7,0.2,-,0.4
Duane Holmes,0.6,0.3,0.1,0.2
Patrick Roberts,0.6,0.1,-,0.4
Lyle Taylor,1.2,0.3,0.2,0.7
Macauley Bonne,0.8,0.1,0.1,0.6
Fouad Bachirou,-,-,-,-
Alexander Tettey,0.1,0.1,-,-
Nick Freeman,0.3,0.3,-,-
Rekeem Harper,0.2,0.2,-,0.1
Morgan Whittaker,1.5,0.6,0.1,0.8
Stipe Perica,0.4,-,-,0.4
Tommy Conway,0.8,-,-,0.8
Elliott Bennett,0.2,0.1,-,0.1
Scott Kashket,1,0.2,0.1,0.7
Louie Sibley,0.8,0.4,0.1,0.4
Tom Ince,0.7,0.3,-,0.4
Billy Jones,-,-,-,-
Tom Ince,0.6,0.3,-,0.3
Dominic Thompson,0.3,-,-,0.3
Kornell MacDonald,-,-,-,-
Hayden Carter,-,-,-,-
Hayden Muller,-,-,-,-
Nico Gordon,-,-,-,-
Beni Baningime,0.5,0.5,-,-
Kaide Gordon,-,-,-,-
Shane Ferguson,0.3,0.3,-,-
Jack Marriott,1.8,0.5,-,1.3
Patrick Jones,-,-,-,-
Sam Pearson,0.4,-,-,0.4
Joe Wildsmith,-,-,-,-
