Name,Total_shots,OutOfBox,SixYardBox,PenaltyArea
Álex Millán,-,-,-,-
Sergio González,1,-,1,-
David Gil,-,-,-,-
Gabriel Veiga,-,-,-,-
Borja Mayoral,-,-,-,-
Daniel Plomer,-,-,-,-
John Patrick,0.3,0.2,-,0.2
Álvaro Bastida,-,-,-,-
Nano Mesa,-,-,-,-
Josete Miranda,0.3,-,-,0.3
Ferro,-,-,-,-
Isma Ruiz,-,-,-,-
Lautaro de León,-,-,-,-
Unai Arietaleanizbeaskoa,0.3,0.3,-,-
Gerónimo Rulli,-,-,-,-
John Donald,-,-,-,-
Marc Baró,1,1,-,-
Rubén Martínez,-,-,-,-
Koke Vegas,-,-,-,-
Unai Dufur,-,-,-,-
Eñaut Mendía,1,1,-,-
Jokin Ezkieta,-,-,-,-
