Name,Total_shots,OutOfBox,SixYardBox,PenaltyArea
Richard Towell,1.3,0.9,-,0.3
Andy Williams,1.2,0.2,0.2,0.9
Joel Dixon,-,-,-,-
Luke Burgess,0.4,0.1,-,0.4
Scott Brown,-,-,-,-
Emmanuel Osadebe,1.2,0.5,-,0.6
Jon Stead,1.5,0.4,0.3,0.8
Elvis Bwomono,0.4,0.2,-,0.2
George Thomason,0.8,0.5,0.1,0.2
Marcel Hilßner,1.6,1.3,-,0.3
James Clarke,0.3,-,0.1,0.2
Lee O'Connor,0.1,-,-,0.1
Hector Kyprianou,0.3,-,-,0.2
Archie Davies,0.3,0.1,-,0.2
Tyreik Wright,1.1,0.7,-,0.4
Ousseynou Cissé,0.3,0.2,-,0.1
David Fitzpatrick,0.3,0.2,-,0.1
Jason Law,1.4,0.6,-,0.8
Chris Taylor,0.6,0.4,-,0.3
Tom Pope,1,0.1,0.1,0.9
Joe Widdowson,-,-,-,-
Grant Horton,-,-,-,-
George Lloyd,1.1,0.2,0.1,0.8
Tyler French,0.1,-,-,0.1
Gareth Evans,1,0.4,-,0.6
Harrison McGahey,0.2,-,-,0.2
Brennan Dickenson,1.5,0.8,0.2,0.5
Joshua Griffiths,-,-,-,-
Lewis Freestone,0.3,-,-,0.3
Dean Furman,0.2,0.2,-,0.1
James Montgomery,-,-,-,-
Owen Windsor,1,0.3,0.2,0.5
Mark Howard,-,-,-,-
James Olayinka,0.9,0.5,0.1,0.4
Sam Matthews,1.3,0.9,-,0.5
Brandon Thomas-Asante,1.8,0.6,0.1,1.1
Danny Johnson,1.5,0.2,0.3,1
Elliott Whitehouse,0.5,0.1,0.1,0.3
Finn Cousin-Dawson,0.3,-,-,0.3
Liam Ridehalgh,0.1,-,-,-
Tyler Frost,1.1,0.2,0.1,0.8
James Tilley,0.8,0.3,0.1,0.5
Arthur Gnahoua,0.8,0.4,-,0.3
Harrison Biggins,1.3,0.8,-,0.5
Jack Smith,0.4,0.2,-,0.2
