Name,Total_shots,OutOfBox,SixYardBox,PenaltyArea
Giovanni Sio,1.7,0.9,0.1,0.7
Rahmetullah Berisbek,0.1,0.1,-,0.1
Abdulkadir Sunger,-,-,-,-
Márcio Mossoró,0.2,0.1,-,0.1
Ramazan Civelek,0.2,0.2,-,0.1
Ceyhun Gülselam,0.8,0.2,-,0.5
Paul Mukairu,-,-,-,-
Mustafa Akbas,0.2,-,-,0.2
Ricardo Friedrich,-,-,-,-
Geraldo,0.8,0.4,0.1,0.4
Alper Uludag,0.3,-,-,0.3
Mehmet Goktug Bakirbas,-,-,-,-
Mamadou Samassa,-,-,-,-
Dogan Erdogan,0.3,0.2,-,0.2
Fede Varela,0.3,-,-,0.3
Yusuf Sari,0.7,0.4,-,0.3
Guven Yalcin,0.9,0.4,0.2,0.4
Bulent Cevahir,0.1,0.1,-,-
Burak Camoglu,0.1,0.1,-,0.1
Dever Orgill,0.8,0.1,-,0.7
André Sousa,0.5,0.4,-,0.1
Ferdi Kadioglu,0.4,0.3,-,0.1
Muris Mesanovic,1.2,0.3,0.1,0.8
Ibrahim Sissoko,0.4,0.1,-,0.3
Veton Tusha,0.6,0.2,-,0.5
Yannis Salibur,1.3,0.5,-,0.8
Umut Günes,0.6,0.3,-,0.3
Ali Eren Iyican,-,-,-,-
Mert Yilmaz,0.2,0.2,-,-
Yaw Ackah,0.1,0.1,-,-
Umut Bulut,0.7,-,0.2,0.5
Farouk Miya,0.7,0.4,-,0.3
Alan Carius,1,0.6,0.1,0.3
Ismaël Diomandé,1.2,0.7,-,0.5
Ahmed Ildiz,0.5,0.4,-,0.1
Halil Pehlivan,0.1,-,-,-
Omurcan Artan,-,-,-,-
Murat Yildirim,0.3,0.2,-,0.2
Jody Lukoki,0.4,0.1,-,0.3
Gorkem Can,-,-,-,-
Murat Sarigül,-,-,-,-
Fernando,0.7,0.2,-,0.5
Jorge Félix,0.5,0.1,0.1,0.4
Jimmy Durmaz,1,-,-,1
Kartal Kayra Yilmaz,-,-,-,-
Mirkan Aydin,0.5,0.1,-,0.4
Hasan Ayaroglu,1,-,-,1
Zakarya Bergdich,0.1,-,-,0.1
Omar Imeri,0.3,0.1,0.1,0.1
Bogdan Butko,-,-,-,-
Dusan Jovancic,-,-,-,-
Kemal Ademi,0.3,-,-,0.3
Kerim Frei,0.1,-,0.1,-
Harun Tekin,-,-,-,-
Brown Ideye,0.6,-,0.1,0.4
Erdon Daci,0.9,0.3,-,0.6
Guilherme,-,-,-,-
Hadi Sacko,0.7,0.1,0.1,0.5
Batuhan Kirdaroglu,-,-,-,-
Deniz Türüç,2,0.7,-,1.3
Jeremain Lens,1.5,-,1,0.5
André,0.7,0.2,0.1,0.5
Ismail Yüksek,1,1,-,-
Rashad Muhammed,1.3,0.2,-,1.1
Ahmet Oguz,-,-,-,-
Olcay Sahan,0.3,0.3,-,0.1
Oguz Guctekin,0.2,0.2,-,-
Assane Dioussé,0.4,0.2,-,0.2
Emirhan Kascioglu,0.3,-,-,0.3
Mevlüt Erdinç,1.2,0.1,0.3,0.8
Idriz Voca,0.3,0.2,-,0.2
Furkan Soyalp,0.3,0.2,-,0.1
Yasin Öztekin,0.6,0.5,-,0.2
Berat Kalkan,-,-,-,-
Hasan Yesilyurt,0.3,0.3,-,-
Valentine Ozornwafor,-,-,-,-
Feyzi Yildirim,0.1,0.1,-,-
Ali Yavuz Kol,0.6,0.3,-,0.4
Zvonimir Kozulj,0.4,0.4,-,-
Gökhan Karadeniz,0.9,0.4,-,0.4
Yasin Pehlivan,0.1,-,-,0.1
Kemal Ademi,1.5,0.2,0.2,1.2
Casimir Ninga,0.5,0.1,0.1,0.3
Azubuike Okechukwu,0.1,0.1,-,-
Berk Yildiz,-,-,-,-
Emre Colak,0.4,0.3,-,0.1
Muhammed Egemen Pehlivan,0.4,0.3,-,0.1
Ahmed Yasin,0.4,0.1,-,0.3
Ravil Tagir,-,-,-,-
Bora Kadioglu,-,-,-,-
Eric Ndizeye,-,-,-,-
Omer Uzun,1,-,-,1
Muhammet Özkal,0.4,-,0.1,0.3
Mustafa Çeçenoglu,0.8,0.8,-,-
Samuel Emem Eduok,0.5,0.3,-,0.3
Fousseni Diabaté,0.2,0.2,-,-
Hüseyin Altintas,-,-,-,-
Serdar Gurler,0.3,0.1,-,0.2
Muhammed Mert,0.2,0.2,-,-
Dogucan Haspolat,0.2,0.2,-,-
Hasan Huseyin Acar,-,-,-,-
Stefano Napoleoni,0.9,0.1,0.3,0.6
Kemal Rüzgar,0.1,-,-,0.1
Emin Bayram,-,-,-,-
Matthieu Dossevi,0.2,0.1,-,0.2
Dzenan Burekovic,0.2,0.2,-,0.1
Bilal Basacikoglu,0.3,0.2,0.1,0.1
Hélder Barbosa,0.8,0.2,-,0.6
Abdurrahman Canli,0.2,0.2,-,-
Ali Kaan Guneren,0.5,0.3,-,0.3
Nadir Ciftci,1,-,-,1
Lucas Mugni,0.6,0.3,-,0.3
Anil Koç,0.5,0.2,-,0.4
Serhat Ahmetoglu,0.5,0.5,-,-
Jetmir Topalli,1,0.2,0.2,0.6
Orkan Cinar,0.5,0.5,-,0.1
Kubilay Sönmez,0.1,-,-,0.1
Vato Arveladze,0.3,0.3,-,-
Burak Süleyman,0.2,-,-,0.2
Emre Demir,0.5,0.2,0.1,0.2
Özgür Cek,-,-,-,-
