Name,Team,Age,Apps,start_bench,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,League,Tackles,Inter,Fouls,Offsides,Clear,Drb_past,Blocks,OwnG,Drb_per_game,Fouled,Off,Disp,UnsTch,Total_shots,OutOfBox,SixYardBox,PenaltyArea,KeyP,AvgP,Crosses,LongB,ThrB,Main_role,is_pos_c,is_pos_l,is_pos_r,secondary_role,is_pos_sec_c,is_pos_sec_l,is_pos_sec_r,third_role,is_pos_third_c,is_pos_third_l,is_pos_third_r
Leonardo Villalba,Central Cordoba de Santiago,26,1,5,138,0,0,0,0,0.5,60.7,0.2,0,6.2,Superliga,0.7,0.0,0.2,0.0,0.2,0.0,0.0,0,0.2,0.5,0.0,0.0,0.8,0.5,0.3,0.0,0.2,0.7,10.2,0.5,0.0,0.0,C,1,0,0,None,0,0,0,None,0,0,0
Jonas David,Hamburg,21,1,2,81,0,0,0,0,0.0,84.8,1.0,0,6.54,Bundesliga_2,0.3,0.7,0.7,0.0,2.0,0.0,0.3,0,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0, D,1,0,0,None,0,0,0,None,0,0,0
Arne Cassaert,Cercle Bruges,20,1,1,91,0,0,0,0,0.0,68.0,0.5,0,6.05,Jupiler_league,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,1.0,0.0, D,1,0,0,None,0,0,0,None,0,0,0
Philipp Zulechner,Erzgebirge Aue,31,1,25,266,2,0,1,0,0.2,55.7,0.5,0,6.11,Bundesliga_2,0.0,0.1,0.4,0.0,0.2,0.0,0.0,0,0.1,0.2,0.1,0.1,0.2,0.2,0.1,0.0,0.1,0.1,2.7,0.0,0.1,0.0, FW,1,0,0,None,0,0,0,None,0,0,0
Maximilian Thiel,FC Heidenheim,28,1,4,107,0,0,0,0,0.2,61.3,0.6,0,6.15,Bundesliga_2,0.6,0.2,0.6,0.0,0.2,0.2,0.0,0,0.0,0.2,0.2,0.2,0.6,0.2,0.0,0.0,0.2,0.4,6.2,0.2,0.2,0.0, AM,0,1,0,None,0,0,0,None,0,0,0
Matías Pellegrini,Estudiantes,21,1,5,158,1,0,2,0,0.8,77.6,0.5,0,6.39,Superliga,0.7,0.5,1.0,0.0,0.0,1.2,0.0,0,0.2,1.2,0.3,0.2,1.3,0.8,0.0,0.0,0.8,0.0,8.2,0.2,0.2,0.0, AM,1,1,0,None,0,0,0,None,0,0,0
Jarne Steuckers,St.Truiden,19,1,5,203,0,0,0,0,0.2,81.4,0.0,0,6.08,Jupiler_league,0.2,0.5,0.2,0.0,0.2,0.0,0.0,0,0.2,0.2,0.0,0.3,0.8,0.2,0.0,0.0,0.2,0.8,18.8,0.5,1.8,0.0, FW,1,0,0,None,0,0,0,None,0,0,0
Jovan Stojanovic,Kortrijk,29,1,20,294,0,0,2,0,0.1,64.2,0.4,0,6.11,Jupiler_league,0.2,0.1,0.3,0.0,0.1,0.0,0.1,0,0.1,0.1,0.0,0.3,0.4,0.1,0.0,0.0,0.1,0.3,7.2,0.1,0.3,0.0, FW,1,0,0,None,0,0,0,None,0,0,0
Ignacio Chicco,Colon,24,1,0,90,0,0,0,0,0.0,58.3,0.0,0,6.36,Superliga,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,6.0,0.0, GK,1,0,0,None,0,0,0,None,0,0,0
Eddy Sylvestre,Standard Liege,21,1,0,54,0,0,0,0,1.0,57.9,2.0,0,6.06,Jupiler_league,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,19.0,0.0,1.0,0.0, AM,0,0,1,None,0,0,0,None,0,0,0
Bruny Nsimba,Royal Antwerp,21,1,4,165,0,1,0,0,1.2,71.4,0.4,0,6.47,Jupiler_league,0.2,0.2,0.6,0.0,0.2,0.0,0.2,0,0.4,1.4,0.6,0.8,1.0,1.2,0.4,0.0,0.8,0.4,7.0,0.2,0.0,0.2, FW,1,0,0,None,0,0,0,None,0,0,0
Adonis Frias,Defensa y Justicia,23,1,3,134,0,0,0,0,0.8,87.9,1.3,0,6.34,Superliga,0.3,0.3,0.8,0.3,2.8,0.0,1.0,0,0.3,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.8,0.0,14.5,0.0,0.8,0.0, D,1,0,0,None,0,0,0,None,0,0,0
