Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,League
Jack Robinson,1.3,0.8,0.9,0.4,3.7,0.5,0.4,-,Premier_league
Fabio Carvalho,2.3,0.3,1,-,-,1,-,-,Premier_league
Kai Havertz,0.7,0.1,1,0.1,0.7,0.8,-,-,Premier_league
Ben White,1.4,1.7,0.8,0.3,1.4,0.9,0.6,-,Premier_league
Ayoze Pérez,1.3,0.4,1.2,-,0.3,1.4,-,-,Premier_league
Jamaal Lascelles,0.7,0.6,0.9,0.4,4.4,0.2,0.9,-,Premier_league
Mario Lemina,2.2,1.1,1.1,0.1,0.7,0.8,0.2,-,Premier_league
Robert Sánchez,-,-,0.1,-,0.5,-,-,-,Premier_league
Saïd Benrahma,0.8,0.3,0.5,-,0.1,0.7,-,-,Premier_league
Naby Keita,1.1,0.9,1.3,-,0.5,1,-,-,Premier_league
Robin Koch,1.6,1.6,1,0.1,1.8,0.5,0.7,-,Premier_league
Maximilian Kilman,1.2,1.1,1.1,0.2,2.2,0.3,0.4,-,Premier_league
John Egan,1.3,1.3,0.9,0.3,4.2,0.5,1,-,Premier_league
Curtis Jones,0.7,0.8,0.8,-,0.4,0.5,-,-,Premier_league
Nemanja Matic,1.3,1.1,0.7,0.1,0.5,0.9,0.3,-,Premier_league
Scott Dann,0.4,1.2,0.4,0.1,3.8,0.5,0.9,-,Premier_league
Nathan Aké,1,0.9,0.8,0.5,2.2,0.1,0.1,-,Premier_league
Joe Rodon,1.2,1.8,0.2,0.4,2.9,0.1,0.7,-,Premier_league
Neal Maupay,0.6,0.4,0.8,-,0.2,0.6,-,-,Premier_league
Gary Cahill,0.7,0.7,0.6,0.3,4.3,0.2,1.1,-,Premier_league
Cheikhou Kouyaté,1.6,0.9,1,0.4,3.4,0.5,0.7,-,Premier_league
Theo Walcott,1.1,0.7,0.6,-,0.1,1,-,-,Premier_league
Bernardo,3.3,0.3,0.3,-,0.3,0.7,-,-,Premier_league
Ben Davies,1.4,0.9,1,0.4,2.3,0.9,0.3,-,Premier_league
Édouard Mendy,-,-,-,-,0.4,-,-,-,Premier_league
Rayan Aït-Nouri,1.4,0.7,0.7,-,0.9,0.7,-,-,Premier_league
Bernd Leno,-,-,0.1,-,0.7,-,-,1,Premier_league
Luka Milivojevic,2.1,1.1,1.2,-,1.5,1.1,0.2,-,Premier_league
Aaron Ramsdale,-,0.1,-,-,0.9,-,-,-,Premier_league
Nathan Redmond,1,0.4,1.1,-,0.3,0.6,0.1,-,Premier_league
Joel Ward,1.7,1.6,1.2,0.5,3.1,0.7,0.3,-,Premier_league
Rúnar Alex Rúnarsson,-,-,-,-,-,-,-,-,Premier_league
Kasper Schmeichel,-,-,-,-,0.4,-,-,1,Premier_league
Kean Bryan,1.5,1,1,0.5,2.7,0.8,0.8,1,Premier_league
Ivan Cavaleiro,0.6,0.5,0.8,0.1,0.4,0.6,-,-,Premier_league
Alex Iwobi,0.9,0.5,0.4,-,0.4,0.4,-,-,Premier_league
Juan Mata,0.1,0.3,0.1,-,0.3,0.8,-,-,Premier_league
Jayden Bogle,2.1,0.9,0.9,0.1,1.1,1.2,0.3,-,Premier_league
Conor Coady,0.9,0.7,0.6,0.6,3.5,0.4,0.9,-,Premier_league
Jack Stephens,1.9,1.6,0.4,0.8,3.2,1.2,0.8,-,Premier_league
Bobby De Cordova-Reid,0.9,0.6,1.2,0.1,1,0.6,0.2,-,Premier_league
Marvelous Nakamba,1.7,1.3,0.6,-,0.6,0.4,0.4,-,Premier_league
Darren Randolph,-,-,-,-,1.3,-,-,-,Premier_league
Olivier Giroud,0.2,0.3,0.9,-,0.6,0.4,0.1,-,Premier_league
Jordan Ayew,1.1,0.5,1.4,-,0.3,0.8,0.1,-,Premier_league
Mateusz Klich,1.1,0.3,1.3,-,0.4,1.3,0.1,-,Premier_league
John Fleck,1.6,0.9,1.1,-,0.3,1.8,0.1,-,Premier_league
Robbie Brady,1.2,0.5,1.1,-,1.3,1.2,-,-,Premier_league
Jack Cork,1.6,1,1.3,0.1,1.2,1.3,0.3,-,Premier_league
Robert Snodgrass,2.1,0.1,1,0.1,1.5,0.8,0.3,-,Premier_league
Dara O'Shea,1.6,1.6,0.5,0.4,3.5,0.9,0.6,-,Premier_league
David Luiz,0.6,0.8,0.8,0.2,2.5,-,0.5,-,Premier_league
Ruben Loftus-Cheek,0.8,0.2,0.9,-,0.5,0.5,0.1,-,Premier_league
Aleksandar Mitrovic,0.3,0.1,0.8,-,0.3,0.2,0.1,-,Premier_league
Rui Patrício,-,-,-,-,0.2,-,-,-,Premier_league
Alex McCarthy,-,-,-,-,0.7,0.1,-,-,Premier_league
Steven Bergwijn,0.7,0.2,1,-,0.3,0.6,-,-,Premier_league
Neco Williams,1,1,0.5,0.2,0.7,0.7,0.2,-,Premier_league
Dele Alli,1.2,0.5,0.7,-,0.2,0.8,-,-,Premier_league
Jóhann Gudmundsson,0.9,0.8,0.5,-,0.8,0.5,0.1,-,Premier_league
Oliver Norwood,1.5,1.1,0.8,-,1.5,1.6,0.4,-,Premier_league
Cédric Soares,1.2,0.8,0.6,0.1,1.4,1.5,0.1,-,Premier_league
Ainsley Maitland-Niles,1.5,1.1,0.7,0.1,1.4,1.3,0.1,-,Premier_league
Joe Gomez,0.4,0.6,0.9,0.3,4,0.6,0.3,-,Premier_league
James Milner,1,0.5,0.7,-,0.5,0.8,0.1,-,Premier_league
