Name,KeyP,AvgP,Crosses,LongB,ThrB
Chris Merrie,0.4,33.6,0.2,2.5,-
Lee Camp,0.1,33.2,-,10,-
Sean Clare,0.8,28.2,0.4,1.4,0.1
Antony Evans,0.7,17.6,0.8,1.3,-
Joe Edwards,0.7,31.1,0.2,1.6,0.1
George Williams,0.7,31.1,0.3,1.3,-
Ryan Jackson,0.9,25,0.7,2.2,-
Alex Cairns,-,29.4,-,7.4,-
Tyrese Fornah,0.4,33.1,0.2,2.5,-
Jon Nolan,0.5,40.1,0.1,1.9,0.1
Cohen Bramall,0.8,30.6,0.6,1.6,0.1
Paul McShane,0.1,39.3,-,2.9,-
Darren Pratley,0.2,30.8,0.1,3.2,-
Liam Gibbs,-,20,-,-,-
David Davis,0.3,28,-,2.4,-
Jack Diamond,0.4,9.5,0.3,0.3,-
Paul Coutts,0.7,47,0.7,3.4,-
Shane McLoughlin,0.8,19.6,0.4,1,-
Hakeeb Adelakun,0.5,17.2,0.1,1.4,0.1
Donervon Daniels,0.2,28.8,0.1,1.9,0.1
Rasmus Nicolaisen,0.1,27.4,-,2.1,-
John Bostock,0.6,43.6,-,2.7,-
Matija Sarkic,-,26.8,-,7.2,-
Albie Morgan,1,20.7,0.7,2,0.1
Chris Gunter,0.4,34.3,0.2,3.5,-
Matthew Sorinola,0.8,29.6,0.6,1.3,-
Conor Masterson,0.2,31,-,3.4,-
Ryan McLaughlin,0.6,25.3,0.3,1.2,-
Tariq Uwakwe,0.9,16.6,1,0.5,-
Ben Gladwin,0.7,24.3,0.5,1.6,0.1
Daniel Csoka,0.1,24.6,0.1,1.9,-
Baily Cargill,0.6,52.8,0.4,3.4,-
Connal Trueman,-,28.9,-,10.4,-
Ryan Hardie,0.7,9.3,0.1,0.2,-
Christian Maghoma,-,18.8,-,2,-
Alex Woodyard,0.6,33.5,0.1,1.3,-
Madger Gomes,0.5,21.1,-,1,-
Callum Slattery,0.4,22.4,-,2.1,-
Akinwale Odimayo,0.3,36.1,0.4,3.5,-
Omar Bogle,0.4,10.5,-,0.5,-
Brandon Hanlan,0.7,12.3,-,0.3,-
Mark Travers,-,32.8,-,7.6,-
Jordan Obita,0.8,13.3,0.5,0.4,-
Oliver Hawkins,0.4,9.7,0.1,-,-
Nathan Wood,-,47.9,-,4.6,-
Cameron John,0.3,31,0.1,2.5,-
Paul Kalambayi,0.2,22.2,-,2.1,-
Mike Fondop-Talom,0.6,9.1,-,0.2,-
Anssi Jaakkola,-,24.1,-,3.9,-
Erhun Oztumer,0.5,26.5,0.5,2.5,-
Paul Smyth,0.7,10.2,0.4,0.5,-
Anthony Hartigan,0.8,28.1,0.9,3.1,-
Thomas Edwards,0.7,33.3,0.7,2.6,-
Donald Love,0.5,27.9,0.4,1.5,-
Gavin Massey,0.4,20.7,0.3,0.6,0.1
Nicky Adams,1.4,16.5,1.3,1.6,-
Elliot Simoes,1,17,0.1,0.3,-
Matthew Warburton,0.5,13.8,0.3,0.8,-
Josh Hare,1.1,21.9,0.8,1.4,-
Lewis MacLeod,0.4,27.3,0.4,1.5,-
Jamie Jones,-,30.5,-,8.4,-
Christopher Missilou,0.3,23.4,-,1.6,-
Dominic Samuel,0.5,9.3,-,0.4,-
Ellis Iandolo,0.3,23.8,0.3,1.5,-
Kelland Watts,0.3,52.4,0.3,3.3,-
Andrew Surman,0.5,46.1,0.2,2.8,-
Jonathan Russell,0.6,14.8,-,0.5,-
Zak Jules,0.3,39.8,0.1,1.1,-
Dominic Thompson,0.6,30.6,0.6,2,-
Jordi van Stappershoef,-,20.6,-,4.3,-
Daniel Harvie,0.7,22.2,0.5,0.7,-
Kwadwo Baah,0.3,8.7,0.1,0.3,-
Thelo Aasgaard,0.5,13.2,0.3,0.8,-
James Coppinger,1,23.7,0.6,1,-
Stephen Quinn,0.3,39.5,0.1,2.8,-
Troy Parrott,0.4,18.7,0.1,0.8,0.1
Tom Eaves,0.5,5.7,-,0.3,-
Jonathan Mitchell,0.1,28.3,-,8.2,-
Joe Day,-,22.2,-,4.9,-
Ben Blythe,-,31,-,2,-
Carl Winchester,0.4,20.3,-,1.3,-
Scott Robertson,0.6,13.6,0.4,0.4,-
Mark Sykes,0.4,19.9,0.1,0.9,-
Frank Nouble,0.8,14.4,0.1,0.1,-
Harrison Holgate,0.2,31.8,0.1,3,-
Scott Golbourne,0.3,25.1,0.3,1.2,-
Jimmy McNulty,0.1,25.4,-,3.1,-
Joe Lumley,-,48.8,-,6,-
Keshi Anderson,0.9,25.1,0.1,0.8,-
Mathieu Baudry,0.2,49.8,-,6.1,0.1
Jonathan Grounds,0.2,43.7,-,5.4,-
Mohammed Sangare,-,12,-,1,-
Callum Brittain,0.8,39.3,0.5,1,0.3
Tom Bloxham,-,11.5,-,-,-
John-Joe O'Toole,0.1,33.1,-,3.6,-
Mark Marshall,1.1,10.5,1,0.8,-
Sam Winnall,0.3,8.4,-,0.1,-
Dion Conroy,0.4,40.2,-,5.8,-
Robbie McKenzie,0.2,13.5,0.1,0.7,-
Dan Gardner,0.8,19.4,0.5,1.5,-
Joe Mason,0.4,11.8,-,0.2,-
Callum Reilly,0.5,19.9,0.3,1.2,-
Emeka Obi,-,29.8,-,2.3,-
Jonah Ayunga,0.5,10.2,-,0.1,-
Ben Close,0.5,34.7,0.1,2.3,-
Abraham Odoh,0.5,2.5,-,-,-
Rayhaan Tulloch,0.5,7.5,-,-,-
Jordan Lyden,0.3,36.1,0.1,2.4,-
Alex Newby,0.8,19.7,0.3,0.4,-
Danny Rowe,1,13.3,1,0.7,-
Christopher Missilou,0.2,14,-,0.9,0.1
Matthew Palmer,0.8,35.2,0.5,2.4,-
Alexander MacDonald,0.4,13.2,0.2,0.9,-
Abu Ogogo,-,23.7,-,0.7,-
Jonathan Williams,0.5,14.5,0.2,0.4,-
Glenn Whelan,0.3,44.8,0.1,3.7,-
Joel Cooper,0.3,4.5,-,-,-
Tyler Smith,0.6,5.1,-,0.1,-
Omar Bogle,0.5,14.7,0.1,0.5,-
Gareth Evans,1,14,-,-,-
MJ Williams,0.5,29.1,-,2.3,-
Callum Ainley,0.7,18.7,0.2,0.7,-
Jack Sowerby,0.5,26.3,0.1,2.1,-
Alex Perry,0.2,39.4,-,3.7,-
Remi Matthews,-,26,-,8.3,-
Charlie Daniels,1.1,27.8,1.3,1.2,-
Armando Dobra,0.8,16.6,0.1,0.5,-
Kieran Wallace,0.4,38,0.2,2.3,-
Daniel Udoh,0.4,11.2,-,0.2,-
Louis Thompson,0.6,23.3,0.1,0.5,-
Ryan Edwards,0.5,19.5,0.1,0.9,-
Terry Taylor,0.6,18.8,0.4,1.3,-
Adam Lewis,1.2,18.8,1,1.1,0.1
Jimmy Ryan,0.2,26.1,0.1,2,-
Dion Donohue,0.7,42.1,0.4,5.4,-
Cheye Alexander,0.7,22.7,0.9,1.5,-
Paul Caddis,0.8,31.6,0.5,2.7,-
Chris Porter,0.4,7.9,-,-,-
Scott Robertson,0.8,20.7,0.2,0.7,-
Matt Done,1,14.1,0.9,0.6,-
Declan Drysdale,0.2,15.1,-,0.9,-
Callum Morton,0.5,10.9,-,0.2,0.1
Daniel Agyei,0.4,5.7,0.1,-,-
Ethan Hamilton,0.3,19.9,0.1,0.9,-
Mark Little,-,11.2,-,0.2,-
Jordan Houghton,0.3,36.5,-,1.5,-
Danny Amos,0.4,24,0.1,1.3,-
Regan Slater,0.2,19.2,0.1,1.5,-
Gavin Bazunu,0.1,40.7,-,10,-
Gary Roberts,1,23,2,2,-
Kieran O'Hara,-,23.8,-,7.3,-
Keanan Bennetts,0.4,13.8,0.3,0.4,-
Hallam Hope,0.4,13.6,0.2,0.5,-
Paul Smyth,0.4,6.4,0.3,0.6,-
Dylan Levitt,0.3,40.7,0.3,6,-
Owen Gallacher,0.3,18.4,0.1,1.8,-
Jason Lokilo,0.8,12,0.7,0.2,-
Flynn Clarke,0.3,14.5,0.5,-,-
Jack Lankester,0.6,13.9,0.1,1.1,0.1
Ryan Edmondson,0.9,11.2,-,0.1,-
Jamie Proctor,0.4,12.1,-,0.5,-
Niall Mason,0.4,18.6,0.3,1,-
Remy Howarth,0.4,9.1,-,0.2,-
Harvey White,0.6,14.1,0.7,0.5,-
Lasse Sørensen,0.6,24.9,0.6,1.3,0.1
Jan Zamburek,0.5,23.3,0.2,1.2,-
Adam Long,-,24.2,-,2.5,-
Matej Kovar,-,31.9,-,7.3,-
Michael Harriman,0.3,16.7,0.1,1.9,-
Jaakko Oksanen,0.3,16,0.2,1.3,-
