Name,KeyP,AvgP,Crosses,LongB,ThrB
Omar Sowunmi,-,21,-,1.3,-
Omari Patrick,0.5,14.4,0.2,0.3,-
Ryan Loft,0.7,14.6,-,0.3,-
Tyler Cordner,0.3,28.1,-,3.2,-
Dan Sweeney,0.3,34,-,2.7,-
Danny Newton,0.3,14,-,0.3,-
Frank Vincent,0.7,25.5,0.3,1.7,-
Wesley McDonald,0.8,19.2,0.5,0.4,-
George Taft,0.1,29.3,-,2.4,-
Nick Townsend,-,31.2,-,6.3,-
Scot Bennett,0.2,27.8,-,1.4,-
Oliver Banks,0.6,31.9,0.5,2.9,-
Lewis Thomas,-,36,-,7.5,-
Jamie Cumming,-,26.8,-,6.8,-
Alex Kenyon,0.2,16.9,0.1,0.8,-
Noah Chilvers,0.6,26.4,0.2,2.2,-
Luke Joyce,0.3,43,0.1,3,-
Owura Edwards,1.1,16.3,0.3,0.6,-
Otis Khan,1.2,34.7,1,3.2,-
Billy Clarke,1.4,29,0.5,1.9,-
Ed Francis,0.5,28.9,0.1,2.4,-
Bobby Grant,1.3,12.8,0.7,0.4,-
Lenell John-Lewis,0.6,17.4,0.1,0.2,0.1
Ryan Cooney,0.4,16.9,0.2,1,-
Kane Wilson,0.6,22.7,0.5,1,-
Charles Vernam,0.7,17.7,0.3,0.7,-
Sam Habergham,1.2,27.8,2.2,2.4,-
Robbie Willmott,1.1,21.6,0.7,0.6,-
Josh Falkingham,0.4,39.9,0.1,2.8,0.1
Jason Lowe,0.4,45,-,2.8,-
Craig Clay,0.8,34.5,0.1,1.2,-
Tom Beadling,0.3,22.8,-,2.2,-
Thomas Hamer,0.6,27,0.3,1.8,0.1
Kaiyne Woolery,0.3,13.1,0.2,0.3,-
Udoka Godwin-Malife,0.6,45.2,0.2,2.5,-
Josh Gordon,0.6,20.7,0.3,0.6,-
Harry Davis,0.3,21,-,2,-
Kieron Morris,0.5,26.9,0.2,0.8,-
Clayton Donaldson,0.7,13,0.2,0.4,-
Harry Lennon,0.1,44.9,-,3,-
Jacob Bedeau,0.2,35,0.1,2.9,-
Harry Darling,0.1,35.3,-,4.4,-
Elliott List,0.5,11.6,0.1,0.3,-
Connor Brown,1.1,24.9,0.2,0.9,-
Ashley Nathaniel-George,0.7,15.6,0.3,0.4,-
Lewis Hardcastle,1.7,35.3,1.3,2.8,0.1
George Blackwood,0.5,11.5,0.2,0.6,-
Lewis Alessandra,1.5,18.2,0.4,0.4,-
Tunji Akinola,0.1,40.9,0.1,1.8,-
Laurence Bilboe,0.3,21.3,-,4.3,-
Kgosi Ntlhe,0.1,20.1,0.1,0.8,-
Bradley Barry,0.7,34.9,0.5,1.6,-
Andy Cook,0.6,12,-,0.3,-
Kyle Bennett,1.5,26.9,1.2,1.4,-
Joe Murphy,-,29.7,-,5.5,-
James Belshaw,0.1,35.1,-,11.8,-
Mark Halstead,-,24,-,5.9,-
Miles Welch-Hayes,0.4,29.4,0.2,1.5,-
Jack Young,0.4,39.2,0.2,1.8,-
David Amoo,0.6,13.7,0.5,0.2,-
Danny Preston,0.6,36,0.4,2.6,-
Courtney Senior,0.8,19.2,0.7,0.9,0.1
Jamie Reid,1,16.4,-,0.5,-
Jevani Brown,1,18.8,0.1,0.5,0.1
Liam O'Neil,0.2,16.2,0.1,0.8,-
Liam Roberts,0.1,27.2,-,6.3,-
Tom Leak,-,20.3,-,1.8,-
Harry Clifton,0.5,33.1,0.3,2.4,-
Evan Khouri,0.3,25.2,0.3,1,-
Emmanuel Monthe,0.1,44.2,-,3.8,-
Scott Davies,-,29.4,-,8.3,-
