Name,KeyP,AvgP,Crosses,LongB,ThrB
Aleksandar Boljevic,1.2,18.7,1.5,0.7,-
Bart Verbruggen,-,33.8,-,5.5,-
Naomichi Ueda,0.1,36.8,-,4.3,-
Bram Castro,-,21,-,6.3,-
Eboue Kouassi,0.1,21.7,0.1,1.6,-
Yohan Croizet,0.6,11.6,0.4,0.4,-
Nick Batzner,0.6,19.1,-,0.4,-
Saido Berahino,0.4,12.7,-,0.6,-
Harlem-Eddy Gnohere,0.2,8.7,-,0.3,-
Zakaria Bakkali,0.8,12,0.5,-,-
Matisse Samoise,0.4,3.2,0.2,0.2,-
Ko Matsubara,0.9,31,0.4,2.1,-
Evangelos Patoulidis,0.3,13.3,0.3,1,-
Yannick Aguemon,0.3,13.3,0.3,0.5,-
Jenthe Mertens,0.5,18.4,0.2,1.5,-
Steven Defour,0.4,30.7,0.1,2.1,-
Cristian Benavente,0.3,14.7,-,-,-
Indy Boonen,0.4,9,0.2,0.5,-
Tatsuya Ito,0.3,6.4,0.4,0.3,-
Kouadio Dabila,-,30.6,-,2.4,0.1
Ayrton Mboko,0.3,25.3,0.3,1.3,-
Blessing Eleke,0.3,8.5,0.1,0.1,-
Daniel Pérez,0.6,5.3,0.1,0.1,-
Alexis de Sart,-,19.3,0.1,0.8,-
Abdoulaye Diaby,0.1,8.1,0.1,0.3,-
Edo Kayembe,-,9.5,-,1,-
Abdoulaye Sissako,0.3,18.7,0.1,1.1,-
Mamadou Thiam,0.4,8.7,0.1,0.1,-
Gaetan Coucke,-,33.2,-,4.9,-
Virgiliu Postolachi,0.3,12.7,-,0.2,-
Luca Oyen,0.3,8.9,0.2,0.3,-
Mustapha Bundu,0.3,12.9,0.2,0.2,-
Christophe Lepoint,0.3,9.7,0.1,0.1,-
Mohammed Dauda,0.2,5.9,0.1,0.4,-
Keito Nakamura,0.2,8.8,-,0.4,-
Kévin Denkey,0.2,4.1,-,0.1,-
Víctor Vázquez,-,17,-,4,-
Stan Van Dessel,0.5,22,0.2,1.8,-
David Henen,-,2,-,-,-
Louis Verstraete,-,18.7,-,-,-
Oliver Myny,0.3,4.7,-,0.4,0.1
Carlos Embalo,0.3,10.4,0.1,0.4,-
Abdoul Tapsoba,0.2,7.1,0.1,0.2,0.1
Eden Shamir,0.1,13.5,-,0.6,-
Jhonny Lucas,0.3,11.7,-,0.3,-
Mats Møller Dæhli,0.4,17.2,0.2,0.8,-
Darly Nlandu,0.5,16,-,1.5,-
Muhamed Badamosi,0.3,6.1,-,0.1,-
Beni Badibanga,0.5,11.7,0.3,0.7,-
Mario Stroeykens,0.3,5,-,-,-
Onur Kaya,0.6,12.1,0.4,0.7,-
Thomas Van den Keybus,-,13.5,-,-,-
Jeremy Cijntje,-,7,-,0.3,-
Francois Marquet,0.4,12.5,0.1,0.9,-
Din Sula,-,4.5,-,0.3,-
Victor Wernersson,0.6,39,0.1,1.3,-
Frank Tsadjout,-,4.3,-,-,-
Pierre Dwomoh,-,3.5,-,-,-
Nelson Balongo,0.1,3.4,-,-,-
Nabil Dirar,-,9,-,-,-
Eike Bansen,-,31.8,-,8,-
Thibo Somers,-,5.9,-,0.2,-
Muhammed Badamosi,-,3,-,-,-
Jovan Stojanovic,0.3,7.2,0.1,0.3,-
Yonas Malede,0.2,6.6,0.2,0.2,-
Andreas Beck,0.1,8.2,0.2,0.3,-
Yani Van Den Bossche,0.3,3.3,-,-,-
Anthony Descotte,-,2,-,-,-
Luqman Hakim,-,9,-,-,-
Benjamin Van Durmen,0.9,20,0.1,0.3,-
Benjamin Nygren,-,13,-,0.3,-
Alexander Maes,-,3,-,-,-
Jarne Steuckers,0.8,18.8,0.5,1.8,-
Denzel Jubitana,-,6,-,1,-
Djihad Bizimana,0.3,27.2,-,1.7,-
Abdul Ajagun,-,6.3,-,0.3,-
Cedric Omoigui,-,-,-,-,-
Lukasz Teodorczyk,0.1,6.3,0.1,0.1,-
Gregory Grisez,-,5.5,-,0.5,-
Enes Saglik,0.5,6,-,-,-
Eddy Sylvestre,-,19,-,1,-
Felipe Avenatti,-,1.8,-,-,-
Daan Vekemans,0.4,4.1,-,-,-
Aboubakar Keita,-,5.3,-,1,-
Arne Cassaert,-,12.5,-,1,-
Maximiliano Caufriez,0.5,43,-,8.5,0.3
Bryan Limbombe Ekango,0.3,6,-,0.3,-
Stefan Milosevic,-,4.3,-,-,-
Ken Nkuba,-,2.5,-,-,-
Alimami Gory,0.5,3,-,-,-
Capita,0.3,3.7,-,-,-
Andy King,-,24,-,-,-
Gary Magnée,-,9,-,-,-
Kristian Arnstad,-,14,-,0.5,-
Levi Malangu,-,-,-,-,-
Christophe Diandy,-,3,-,-,-
Charles-Andreas Brym,0.4,7.3,0.1,0.1,-
Isaac Asante,-,12.4,-,0.4,-
Emmanuel Sowah,-,-,-,-,-
Mèmè Placca Fessou,-,5,-,-,-
Nick Gillekens,-,-,-,-,-
